"","GO","Pvalue","OddsRatio","ExpCount","Count","Size","Term","ontology"
"116","GO:0040018",0.000410269442660217,8.3775,9.5793950151616,17,19,"positive regulation of multicellular organism growth","BP"
"117","GO:0055010",0.000410269442660217,8.3775,9.5793950151616,17,19,"ventricular cardiac muscle morphogenesis","BP"
"118","GO:0046777",0.000418439913792539,2.69823888232979,28.2340063604763,41,56,"protein amino acid autophosphorylation","BP"
"119","GO:0030048",0.000485501867504159,6.24296361675002,11.0919310701871,19,22,"actin filament-based movement","BP"
"120","GO:0050768",0.000485501867504159,6.24296361675002,11.0919310701871,19,22,"negative regulation of neurogenesis","BP"
"121","GO:0010720",0.00050972515866116,4.10900078523753,15.6295392352637,25,31,"positive regulation of cell development","BP"
"122","GO:0010517",0.000526218498517465,2.59129151291513,29.2423637304933,42,58,"regulation of phospholipase activity","BP"
"123","GO:0014013",0.000532955114250624,Inf,5.54596553509356,11,11,"regulation of gliogenesis","BP"
"124","GO:0050982",0.000532955114250624,Inf,5.54596553509356,11,11,"detection of mechanical stimulus","BP"
"125","GO:0045666",0.000541503351689827,13.7942084374541,7.56268027512758,14,15,"positive regulation of neuron differentiation","BP"
"126","GO:0030855",0.000563797225214196,2.80879282958929,25.2089342504253,37,50,"epithelial cell differentiation","BP"
"127","GO:0042327",0.000566120895820055,2.36986260895258,34.2841505805784,48,68,"positive regulation of phosphorylation","BP"
"128","GO:0006897",0.000599734383842847,1.64448533344744,93.6687671435985,116,186,"endocytosis","BP"
"129","GO:0040011",0.000656927691308406,1.48691159648054,142.795191517957,170,284,"locomotion","BP"
"130","GO:0040012",0.000657542974904212,1.82390192390192,64.5348716810887,83,128,"regulation of locomotion","BP"
"131","GO:0007169",0.000658538858644253,1.94298223625942,53.1542652436749,70,106,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"132","GO:0010562",0.000677113676764121,2.30402876280536,35.2925079505954,49,70,"positive regulation of phosphorus metabolic process","BP"
"133","GO:0046850",0.000685907849099895,3.45813644418193,18.1346766427143,28,36,"regulation of bone remodeling","BP"
"134","GO:0030902",0.000722326596283858,7.90092879256966,9.06533333333333,16,18,"hindbrain development","BP"
"135","GO:0021515",0.000733616310044145,7.88354653727393,9.0752163301531,16,18,"cell differentiation in spinal cord","BP"
"136","GO:0007219",0.000742224832554874,2.96193567424019,22.1758176705639,33,44,"Notch signaling pathway","BP"
"137","GO:0051046",0.000746321986945952,1.89883405132047,55.9638340359441,73,111,"regulation of secretion","BP"
"138","GO:0008286",0.000766131116295568,3.66287313040369,16.6378966052807,26,33,"insulin receptor signaling pathway","BP"
"139","GO:0010627",0.000795516004407422,1.66498972310327,85.2061977664374,106,169,"regulation of protein kinase cascade","BP"
"140","GO:0001764",0.000855439751652978,3.05797229590333,20.6713260853487,31,41,"neuron migration","BP"
"141","GO:0001709",0.00087164610160395,4.93227326266196,12.0958863569103,20,24,"cell fate determination","BP"
"142","GO:0006836",0.000953193566480485,2.80105538294620,23.1688292429747,34,46,"neurotransmitter transport","BP"
"143","GO:0030522",0.000954417926656512,2.25667433467699,34.7883292655869,48,69,"intracellular receptor-mediated signaling pathway","BP"
"144","GO:0007398",0.000960121779868858,12.9107595881212,7.0303664921466,13,14,"ectoderm development","BP"
"145","GO:0008038",0.00100785494676101,12.8070252792475,7.05850159011907,13,14,"neuron recognition","BP"
"146","GO:0001657",0.00105017492133873,Inf,5.03812273299282,10,10,"ureteric bud development","BP"
"147","GO:0001662",0.00105784582762453,Inf,5.04178685008505,10,10,"behavioral fear response","BP"
"148","GO:0019932",0.00121472274515762,1.6362285505399,84.1193443109331,104,167,"second-messenger-mediated signaling","BP"
"149","GO:0046879",0.00129782880993475,3.78862148727792,14.6031416716064,23,29,"hormone secretion","BP"
"150","GO:0014706",0.00136559027749784,5.62702783152255,10.0454850495862,17,20,"striated muscle development","BP"
"151","GO:0030879",0.00141746352132226,4.14005297233667,13.1086458102211,21,26,"mammary gland development","BP"
"152","GO:0022898",0.00144178474549150,5.58416666666667,10.0835737001701,17,20,"regulation of transmembrane transporter activity","BP"
"153","GO:0045471",0.00144178474549150,5.58416666666667,10.0835737001701,17,20,"response to ethanol","BP"
"154","GO:0033555",0.00146602647513924,4.68152397764048,11.5961097551956,19,23,"multicellular organismal response to stress","BP"
"155","GO:0051016",0.00146602647513924,4.68152397764048,11.5961097551956,19,23,"barbed-end actin filament capping","BP"
"156","GO:0030216",0.00149089425196149,3.06803489304594,18.6546113453147,28,37,"keratinocyte differentiation","BP"
"157","GO:0033002",0.00149089425196149,3.06803489304594,18.6546113453147,28,37,"muscle cell proliferation","BP"
"158","GO:0051128",0.00155080534844993,1.47886659519069,124.494098188106,148,248,"regulation of cellular component organization","BP"
"159","GO:0045597",0.00157874710223595,2.06667461263409,38.7002526378362,52,77,"positive regulation of cell differentiation","BP"
"160","GO:0060341",0.00171965493112773,1.75194593209135,61.5097995710376,78,122,"regulation of cellular localization","BP"
"161","GO:0001569",0.00186738200596269,11.8201322556943,6.55432290511057,12,13,"patterning of blood vessels","BP"
"162","GO:0009749",0.00186738200596269,11.8201322556943,6.55432290511057,12,13,"response to glucose stimulus","BP"
"163","GO:0034284",0.00186738200596269,11.8201322556943,6.55432290511057,12,13,"response to monosaccharide stimulus","BP"
"164","GO:0051248",0.00188004250341463,1.76452515150231,58.9889061459951,75,117,"negative regulation of protein metabolic process","BP"
"165","GO:0060193",0.00190574705990460,2.2334234612217,31.2590784705273,43,62,"positive regulation of lipase activity","BP"
"166","GO:0042692",0.00190740787133233,2.86868806389587,19.6330071174377,29,39,"muscle cell differentiation","BP"
"167","GO:0051347",0.00206758043256074,1.61510145358932,79.6602322313438,98,158,"positive regulation of transferase activity","BP"
"168","GO:0030326",0.00206997723668886,3.62390512744809,14.0985404163888,22,28,"embryonic limb morphogenesis","BP"
"169","GO:0000160",0.00209953184824657,Inf,4.53760816507655,9,9,"two-component signal transduction system (phosphorelay)","BP"
"170","GO:0042474",0.00209953184824657,Inf,4.53760816507655,9,9,"middle ear morphogenesis","BP"
"171","GO:0042552",0.00211535379558566,3.61432425803287,14.1170031802381,22,28,"myelination","BP"
"172","GO:0007167",0.00211785258782911,5.37400854179378,9.47333282755481,16,19,"enzyme linked receptor protein signaling pathway","BP"
"173","GO:0006916",0.00214125783244392,1.60697308188896,80.6162050066657,99,160,"anti-apoptosis","BP"
"174","GO:0019220",0.00221705755262255,1.72922848664688,61.0056208860291,77,121,"regulation of phosphate metabolic process","BP"
"175","GO:0009755",0.00227238980485114,2.9580265095729,18.1504326603062,27,36,"hormone-mediated signaling","BP"
"176","GO:0003073",0.00228928288951338,6.90313558074488,8.06277761326621,14,16,"regulation of systemic arterial blood pressure","BP"
"177","GO:0008344",0.00228931356278721,6.90312131919906,8.0627869095217,14,16,"adult locomotory behavior","BP"
"178","GO:0007205",0.00230123133810822,3.94232749742533,12.6044671252126,20,25,"activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway","BP"
"179","GO:0030835",0.00230123133810822,3.94232749742533,12.6044671252126,20,25,"negative regulation of actin filament depolymerization","BP"
"180","GO:0048534",0.00239387632499893,1.50033753375338,106.235028164838,127,211,"hemopoietic or lymphoid organ development","BP"
"181","GO:0030900",0.00241107549354231,2.70141414141414,20.6262521332641,30,41,"forebrain development","BP"
"182","GO:0007223",0.00245813293609177,5.25491349311376,9.5793950151616,16,19,"Wnt receptor signaling pathway, calcium modulating pathway","BP"
"183","GO:0010594",0.00245813293609177,5.25491349311376,9.5793950151616,16,19,"regulation of endothelial cell migration","BP"
"184","GO:0045669",0.00245813293609177,5.25491349311376,9.5793950151616,16,19,"positive regulation of osteoblast differentiation","BP"
"185","GO:0007519",0.00254423708640862,3.08985126535445,16.6139113651548,25,33,"skeletal muscle development","BP"
"186","GO:0016044",0.00260883244025975,1.36722027379842,173.941646327934,200,345,"membrane organization","BP"
"187","GO:0051051",0.00265777055586005,1.97427937915743,39.3259374306634,52,78,"negative regulation of transport","BP"
"188","GO:0050905",0.00266064097488841,2.50366246371553,23.1922195103912,33,46,"neuromuscular process","BP"
"189","GO:0007272",0.00297269424762659,3.2388031456327,15.1253605502552,23,30,"ensheathment of neurons","BP"
"190","GO:0007507",0.00311842772086681,2.02947140645145,35.1822103227726,47,70,"heart development","BP"
"191","GO:0001508",0.0031472641669567,2.54754887513508,21.6796834553657,31,43,"regulation of action potential","BP"
"192","GO:0031644",0.00319922675878707,2.28414044030733,26.7040574559455,37,53,"regulation of neurological system process","BP"
"193","GO:0048706",0.00336655389286518,10.8814059961601,6.0369408797567,11,12,"embryonic skeletal system development","BP"
"194","GO:0001708",0.00341167082317453,10.8526641153959,6.04485898290029,11,12,"cell fate specification","BP"
"195","GO:0048489",0.00342439446118228,10.8446373400029,6.04707623982235,11,12,"synaptic vesicle transport","BP"
"196","GO:0001658",0.00344207738999437,10.8335292389068,6.05014422010206,11,12,"ureteric bud branching","BP"
"197","GO:0001843",0.00344207738999437,10.8335292389068,6.05014422010206,11,12,"neural tube closure","BP"
"198","GO:0007492",0.00344207738999437,10.8335292389068,6.05014422010206,11,12,"endoderm development","BP"
"199","GO:0009954",0.00344207738999437,10.8335292389068,6.05014422010206,11,12,"proximal/distal pattern formation","BP"
"200","GO:0021517",0.00344207738999437,10.8335292389068,6.05014422010206,11,12,"ventral spinal cord development","BP"
"201","GO:0030514",0.00344207738999437,10.8335292389068,6.05014422010206,11,12,"negative regulation of BMP signaling pathway","BP"
"202","GO:0045214",0.00344207738999437,10.8335292389068,6.05014422010206,11,12,"sarcomere organization","BP"
"203","GO:0000165",0.00350493568070144,2.61590536012264,20.1045556385362,29,40,"MAPKKK cascade","BP"
"204","GO:0007200",0.00369198676660355,2.60138313698685,20.1598105948505,29,40,"activation of phospholipase C activity by G-protein coupled receptor protein signaling pathway coupled to IP3 second messenger","BP"
"205","GO:0009725",0.00387044472063242,6.4516297068016,7.5341341490711,13,15,"response to hormone stimulus","BP"
"206","GO:0007163",0.00398711835954412,2.95716178418961,16.1337179202722,24,32,"establishment or maintenance of cell polarity","BP"
"207","GO:0046427",0.00400166328940394,4.1875,10.5877523851786,17,21,"positive regulation of JAK-STAT cascade","BP"
"208","GO:0030501",0.00403914031472368,6.40255731922399,7.56268027512758,13,15,"positive regulation of bone mineralization","BP"
"209","GO:0060021",0.00403914031472368,6.40255731922399,7.56268027512758,13,15,"palate development","BP"
"210","GO:0032880",0.00409827169965072,1.84264655129912,43.3593669107315,56,86,"regulation of protein localization","BP"
"211","GO:0031016",0.0041449947461249,Inf,4.03080112542574,8,8,"pancreas development","BP"
"212","GO:0007638",0.00416668730582405,Inf,4.03342948006804,8,8,"mechanosensory behavior","BP"
"213","GO:0021872",0.00416668730582405,Inf,4.03342948006804,8,8,"generation of neurons in the forebrain","BP"
"214","GO:0021924",0.00416668730582405,Inf,4.03342948006804,8,8,"cell proliferation in the external granule layer","BP"
"215","GO:0008016",0.00427552266272887,2.66928645294726,18.6288339013187,27,37,"regulation of heart contraction","BP"
"216","GO:0043010",0.00427580952934612,2.66926829268293,18.6289103039288,27,37,"camera-type eye development","BP"
"217","GO:0001525",0.00439906980871743,1.66654031002505,59.3980870467858,74,118,"angiogenesis","BP"
"218","GO:0001932",0.00447648823338993,2.47113249444856,21.1496214932463,30,42,"regulation of protein amino acid phosphorylation","BP"
"219","GO:0007585",0.00459539221579984,3.09752969620519,14.6211818652467,22,29,"respiratory gaseous exchange","BP"
"220","GO:0007156",0.00509535142057172,1.61278107799450,65.0390503660972,80,129,"homophilic cell adhesion","BP"
"221","GO:0021537",0.00521381399047032,3.28767795778105,13.1029379116406,20,26,"telencephalon development","BP"
"222","GO:0050679",0.0052471240607281,3.28478250208425,13.1086458102211,20,26,"positive regulation of epithelial cell proliferation","BP"
"223","GO:0006470",0.00564892829247888,1.61812298756235,62.5181569410547,77,124,"protein amino acid dephosphorylation","BP"
"224","GO:0001666",0.00574121992924806,1.89447185699512,36.8050440056209,48,73,"response to hypoxia","BP"
"225","GO:0008283",0.00574826452538256,1.37845508046746,134.021722325294,155,269,"cell proliferation","BP"
"226","GO:0007420",0.00582975932027227,1.99520742848585,31.5869711215581,42,63,"brain development","BP"
"227","GO:0008285",0.00584956599661585,1.39654719322578,124.872915894776,145,248,"negative regulation of cell proliferation","BP"
"228","GO:0048869",0.00587345241913837,1.42217245240761,107.919183673469,127,222,"cellular developmental process","BP"
"229","GO:0007265",0.00590556569411513,1.52104899930987,79.7670772676372,96,159,"Ras protein signal transduction","BP"
"230","GO:0032388",0.00591076370227752,3.54705103691719,11.5961097551956,18,23,"positive regulation of intracellular transport","BP"
"231","GO:0042509",0.00591076370227752,3.54705103691719,11.5961097551956,18,23,"regulation of tyrosine phosphorylation of STAT protein","BP"
"232","GO:0009165",0.00610591183187854,1.39383079389720,124.990825688073,145,248,"nucleotide biosynthetic process","BP"
"233","GO:0007512",0.0063067529613636,9.84721610107242,5.54596553509356,10,11,"adult heart development","BP"
"234","GO:0035116",0.0063067529613636,9.84721610107242,5.54596553509356,10,11,"embryonic hindlimb morphogenesis","BP"
"235","GO:0042517",0.0063067529613636,9.84721610107242,5.54596553509356,10,11,"positive regulation of tyrosine phosphorylation of Stat3 protein","BP"
"236","GO:0060070",0.0063067529613636,9.84721610107242,5.54596553509356,10,11,"Wnt receptor signaling pathway through beta-catenin","BP"
"237","GO:0021675",0.00652352569849285,3.94059697103367,10.0835737001701,16,20,"nerve development","BP"
"238","GO:0033043",0.00676871053472823,1.58028796200089,65.5432290511057,80,130,"regulation of organelle organization","BP"
"239","GO:0045761",0.00686506192572746,4.60874704491726,8.55995248348058,14,17,"regulation of adenylate cyclase activity","BP"
"240","GO:0007612",0.00692139251888811,4.60207136896873,8.56608663457978,14,17,"learning","BP"
"241","GO:0022037",0.0069440603506493,4.59940187282444,8.56854331582452,14,17,"metencephalon development","BP"
"242","GO:0050770",0.00696703491759432,5.91872791519435,7.0528653931586,12,14,"regulation of axonogenesis","BP"
"243","GO:0001837",0.00696712452023686,4.59669753540105,8.57103764514459,14,17,"epithelial to mesenchymal transition","BP"
"244","GO:0019229",0.00696712452023686,4.59669753540105,8.57103764514459,14,17,"regulation of vasoconstriction","BP"
"245","GO:0001892",0.00702454436117277,5.90918442321822,7.05850159011907,12,14,"embryonic placenta development","BP"
"246","GO:0001974",0.00702454436117277,5.90918442321822,7.05850159011907,12,14,"blood vessel remodeling","BP"
"247","GO:0006182",0.00702454436117277,5.90918442321822,7.05850159011907,12,14,"cGMP biosynthetic process","BP"
"248","GO:0042733",0.00702454436117277,5.90918442321822,7.05850159011907,12,14,"embryonic digit morphogenesis","BP"
"249","GO:0030335",0.00739699479427148,2.08829168004025,26.7214703054508,36,53,"positive regulation of cell migration","BP"
"250","GO:0030198",0.00756324355909357,2.63242817788272,16.6246851385390,24,33,"extracellular matrix organization","BP"
"251","GO:0031333",0.0076591370979686,2.62819569164336,16.6378966052807,24,33,"negative regulation of protein complex assembly","BP"
