"id","desc","ont","hs_psc","hs_hi","mm_psc","mm_hi","patterns","pattern_sums","sums"
"GO:0000154","rRNA modification","BP",1,1,1,1,"0000",0,4
"GO:0000160","two-component signal transduction system (phosphorelay)","BP",1,1,1,1,"0000",0,4
"GO:0000161","MAPKKK cascade during osmolarity sensing","BP",0.207280080889788,1,1,1,"0000",0,3.20728008088979
"GO:0000165","MAPKKK cascade","BP",0.185466095418152,0.543683947601781,0.721005100828845,0.603577473791956,"0000",0,2.05373261764073
"GO:0000166","nucleotide binding","MF",0.602862544784189,0.999976804853058,0.683988581505658,0.926447292089476,"0000",0,3.21327522323238
"GO:0000170","sphingosine hydroxylase activity","MF",1,1,1,1,"0000",0,4
"GO:0000171","ribonuclease MRP activity","MF",0.216979564711746,1,1,1,"0000",0,3.21697956471175
"GO:0000173","inactivation of MAPK activity during osmolarity sensing","BP",0.207280080889788,1,1,1,"0000",0,3.20728008088979
"GO:0000175","3'-5'-exoribonuclease activity","MF",0.705784583213802,1,1,1,"0000",0,3.7057845832138
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",0.40678922991543,0.383786203144731,1,1,"0000",0,2.79057543306016
"GO:0000185","activation of MAPKKK activity","BP",1,1,1,1,"0000",0,4
"GO:0000186","activation of MAPKK activity","BP",0.362534175461761,1,0.88100661986614,0.675308430964017,"0000",0,2.91884922629192
"GO:0000187","activation of MAPK activity","BP",0.823286795113821,0.174086196843447,0.194591284506935,0.116398740336685,"0000",0,1.30836301680089
"GO:0000188","inactivation of MAPK activity","BP",0.344239614472886,0.338422490006330,0.88100661986614,1,"0000",0,2.56366872434536
"GO:0000209","protein polyubiquitination","BP",0.745487924051232,1,0.90882984485201,0.717934359181609,"0000",0,3.37225212808485
"GO:0000212","meiotic spindle organization","BP",1,1,1,1,"0000",0,4
"GO:0000217","DNA secondary structure binding","MF",0.613560849333095,1,0.567048082314409,0.0485878291762667,"0001",1,2.22919676082377
"GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity","MF",1,1,1,1,"0000",0,4
"GO:0000226","microtubule cytoskeleton organization","BP",0.211060270748014,0.0241967394857615,0.682287886750324,0.136449653556248,"0100",1,1.05399455054035
"GO:0000238","zygotene","BP",1,1,1,1,"0000",0,4
"GO:0000239","pachytene","BP",1,1,1,1,"0000",0,4
"GO:0000244","assembly of spliceosomal tri-snRNP","BP",0.501916811010112,1,1,1,"0000",0,3.50191681101011
"GO:0000245","spliceosome assembly","BP",0.884174289079217,0.946259371810486,0.144065997597051,0.569794295104183,"0000",0,2.54429395359094
"GO:0000247","C-8 sterol isomerase activity","MF",1,1,1,1,"0000",0,4
"GO:0000248","C-5 sterol desaturase activity","MF",0.386907229797565,1,1,1,"0000",0,3.38690722979756
"GO:0000250","lanosterol synthase activity","MF",1,1,1,1,"0000",0,4
"GO:0000252","C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity","MF",1,1,1,1,"0000",0,4
"GO:0000253","3-keto sterol reductase activity","MF",1,1,1,0.133401639344262,"0000",0,3.13340163934426
"GO:0000254","C-4 methylsterol oxidase activity","MF",0.216979564711746,1,1,1,"0000",0,3.21697956471175
"GO:0000255","allantoin metabolic process","BP",1,1,0.549696845554305,1,"0000",0,3.54969684555430
"GO:0000257","nitrilase activity","MF",0.216979564711746,1,1,1,"0000",0,3.21697956471175
"GO:0000266","mitochondrial fission","BP",1,1,0.233475282355119,1,"0000",0,3.23347528235512
"GO:0000268","peroxisome targeting sequence binding","MF",1,1,1,1,"0000",0,4
"GO:0000271","polysaccharide biosynthetic process","BP",0.984821760959908,0.898428592809655,0.84470111482167,1,"0000",0,3.72795146859123
"GO:0000272","polysaccharide catabolic process","BP",1,1,0.735524320279223,0.50482295571292,"0000",0,3.24034727599214
"GO:0000273","lipoic acid metabolic process","BP",1,1,1,1,"0000",0,4
"GO:0000278","mitotic cell cycle","BP",0.99852776744141,0.99132398002845,0.505874443645101,0.0449352678579331,"0001",1,2.54066145897289
"GO:0000279","M phase","BP",0.00409372698797165,0.210774629821118,0.0466208816971849,0.0163406637885216,"1011",3,0.277829902294796
"GO:0000280","nuclear division","BP",0.116746227715903,0.454926809534235,0.35936795092739,0.0584711900132701,"0000",0,0.989512178190798
"GO:0000281","cytokinesis after mitosis","BP",1,0.224110248976735,1,1,"0000",0,3.22411024897674
"GO:0000287","magnesium ion binding","MF",0.878596586904131,1,0.9439054950056,1,"0000",0,3.82250208190973
"GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","BP",1,1,1,1,"0000",0,4
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","BP",1,1,1,1,"0000",0,4
"GO:0000291","nuclear-transcribed mRNA catabolic process, exonucleolytic","BP",1,1,1,1,"0000",0,4
"GO:0000293","ferric-chelate reductase activity","MF",0.216979564711746,1,0.0592265614762498,0.249030975844956,"0000",0,1.52523710203295
"GO:0000301","retrograde transport, vesicle recycling within Golgi","BP",0.207280080889788,1,1,1,"0000",0,3.20728008088979
"GO:0000302","response to reactive oxygen species","BP",0.745487924051232,0.163983197343793,0.148168449494422,0.147833910103314,"0000",0,1.20547348099276
"GO:0000303","response to superoxide","BP",1,1,0.549696845554305,1,"0000",0,3.54969684555430
"GO:0000305","response to oxygen radical","BP",1,1,0.549696845554305,1,"0000",0,3.54969684555430
"GO:0000309","nicotinamide-nucleotide adenylyltransferase activity","MF",1,1,1,1,"0000",0,4
"GO:0000318","protein-methionine-R-oxide reductase activity","MF",1,1,0.42765868442539,0.249030975844956,"0000",0,2.67668966027035
"GO:0000320","re-entry into mitotic cell cycle","BP",1,1,1,1,"0000",0,4
"GO:0000334","3-hydroxyanthranilate 3,4-dioxygenase activity","MF",1,1,1,1,"0000",0,4
"GO:0000338","protein deneddylation","BP",1,1,1,1,"0000",0,4
"GO:0000339","RNA cap binding","MF",0.819701775192827,1,1,1,"0000",0,3.81970177519283
"GO:0000340","RNA 7-methylguanosine cap binding","MF",1,1,1,1,"0000",0,4
"GO:0000354","cis assembly of pre-catalytic spliceosome","BP",1,1,1,1,"0000",0,4
"GO:0000375","RNA splicing, via transesterification reactions","BP",0.989625867685268,0.997676358642755,0.320091915880755,0.62644297104846,"0000",0,2.93383711325724
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",0.988402075926979,0.997457494827646,0.320091915880755,0.62644297104846,"0000",0,2.93239445768384
"GO:0000380","alternative nuclear mRNA splicing, via spliceosome","BP",0.687098694123088,1,0.549696845554305,1,"0000",0,3.23679553967739
"GO:0000381","regulation of alternative nuclear mRNA splicing, via spliceosome","BP",0.60521175662764,1,0.412472998827377,1,"0000",0,3.01768475545502
"GO:0000386","second spliceosomal transesterification activity","MF",1,1,1,1,"0000",0,4
"GO:0000387","spliceosomal snRNP biogenesis","BP",0.698262619733285,0.938959732208183,1,1,"0000",0,3.63722235194147
"GO:0000389","nuclear mRNA 3'-splice site recognition","BP",1,1,1,1,"0000",0,4
"GO:0000394","RNA splicing, via endonucleolytic cleavage and ligation","BP",0.501916811010112,1,1,1,"0000",0,3.50191681101011
"GO:0000398","nuclear mRNA splicing, via spliceosome","BP",0.988402075926979,0.997457494827646,0.320091915880755,0.62644297104846,"0000",0,2.93239445768384
"GO:0000400","four-way junction DNA binding","MF",1,1,1,0.249030975844956,"0000",0,3.24903097584496
"GO:0000401","open form four-way junction DNA binding","MF",1,1,1,0.133401639344262,"0000",0,3.13340163934426
"GO:0000402","crossed form four-way junction DNA binding","MF",1,1,1,0.133401639344262,"0000",0,3.13340163934426
"GO:0000403","Y-form DNA binding","MF",0.519980049788321,0.317307385091351,1,1,"0000",0,2.83728743487967
"GO:0000405","bubble DNA binding","MF",0.207360673968947,0.00618684757197106,1,1,"0100",1,2.21354752154092
"GO:0000429","regulation of transcription from RNA polymerase II promoter by carbon catabolites","BP",1,1,1,1,"0000",0,4
"GO:0000430","regulation of transcription from RNA polymerase II promoter by glucose","BP",1,1,1,1,"0000",0,4
"GO:0000432","positive regulation of transcription from RNA polymerase II promoter by glucose","BP",1,1,1,1,"0000",0,4
"GO:0000436","positive regulation of transcription from RNA polymerase II promoter by carbon catabolites","BP",1,1,1,1,"0000",0,4
"GO:0000448","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1,1,1,1,"0000",0,4
"GO:0000460","maturation of 5.8S rRNA","BP",1,1,1,1,"0000",0,4
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1,1,1,1,"0000",0,4
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1,1,1,1,"0000",0,4
"GO:0000469","cleavages during rRNA processing","BP",1,1,1,1,"0000",0,4
"GO:0000470","maturation of LSU-rRNA","BP",1,1,1,1,"0000",0,4
"GO:0000478","endonucleolytic cleavages during rRNA processing","BP",1,1,1,1,"0000",0,4
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1,1,1,1,"0000",0,4
"GO:0000491","small nucleolar ribonucleoprotein complex assembly","BP",0.111034852827916,0.0391628268683573,1,1,"0100",1,2.15019767969627
"GO:0000492","box C/D snoRNP assembly","BP",0.111034852827916,0.0391628268683573,1,1,"0100",1,2.15019767969627
"GO:0000578","embryonic axis specification","BP",1,1,0.426495565527649,0.569794295104183,"0000",0,2.99628986063183
"GO:0000700","mismatch base pair DNA N-glycosylase activity","MF",0.386907229797565,1,1,1,"0000",0,3.38690722979756
"GO:0000701","purine-specific mismatch base pair DNA N-glycosylase activity","MF",1,1,1,1,"0000",0,4
"GO:0000702","oxidized base lesion DNA N-glycosylase activity","MF",1,1,0.42765868442539,0.249030975844956,"0000",0,2.67668966027035
"GO:0000703","oxidized pyrimidine base lesion DNA N-glycosylase activity","MF",1,1,1,1,"0000",0,4
"GO:0000705","achiasmate meiosis I","BP",1,1,0.233475282355119,0.131086835771154,"0000",0,2.36456211812627
"GO:0000710","meiotic mismatch repair","BP",1,1,1,1,"0000",0,4
"GO:0000712","resolution of meiotic joint molecules as recombinants","BP",1,1,0.412472998827377,0.245011006192269,"0000",0,2.65748400501965
"GO:0000717","nucleotide-excision repair, DNA duplex unwinding","BP",1,1,1,1,"0000",0,4
"GO:0000718","nucleotide-excision repair, DNA damage removal","BP",0.98797748003011,0.910567028388353,1,1,"0000",0,3.89854450841846
"GO:0000720","pyrimidine dimer repair via nucleotide-excision repair","BP",1,1,0.0544775658828612,0.0171626653500381,"0001",1,2.0716402312329
"GO:0000722","telomere maintenance via recombination","BP",1,1,1,1,"0000",0,4
"GO:0000723","telomere maintenance","BP",0.100923683411518,0.582598852747055,0.211447260242812,0.275006938883057,"0000",0,1.16997673528444
"GO:0000724","double-strand break repair via homologous recombination","BP",0.192031974157526,0.072185811190187,0.300625340802916,0.0610558288248133,"0000",0,0.625898954975442
"GO:0000725","recombinational repair","BP",0.192031974157526,0.072185811190187,0.300625340802916,0.0610558288248133,"0000",0,0.625898954975442
"GO:0000726","non-recombinational repair","BP",0.60521175662764,0.072185811190187,0.332352376217450,0.50482295571292,"0000",0,1.51457289974820
"GO:0000729","DNA double-strand break processing","BP",0.37162282494938,0.224110248976735,0.233475282355119,0.131086835771154,"0000",0,0.960295192052388
"GO:0000731","DNA synthesis during DNA repair","BP",0.362534175461761,0.153710357736086,1,1,"0000",0,2.51624453319785
"GO:0000733","DNA strand renaturation","BP",1,0.224110248976735,1,1,"0000",0,3.22411024897674
"GO:0000737","DNA catabolic process, endonucleolytic","BP",1,0.398050009644503,1,0.131086835771154,"0000",0,2.52913684541566
"GO:0000738","DNA catabolic process, exonucleolytic","BP",0.501916811010112,0.316583960030924,0.233475282355119,0.131086835771154,"0000",0,1.18306288916731
"GO:0000739","DNA strand annealing activity","MF",0.62418650839478,0.398899138768099,1,1,"0000",0,3.02308564716288
"GO:0000746","conjugation","BP",0.207280080889788,0.119143916413886,1,1,"0000",0,2.32642399730367
"GO:0000747","conjugation with cellular fusion","BP",0.207280080889788,0.119143916413886,1,1,"0000",0,2.32642399730367
"GO:0000768","syncytium formation by plasma membrane fusion","BP",1,1,0.84470111482167,1,"0000",0,3.84470111482167
"GO:0000819","sister chromatid segregation","BP",0.337314818413682,0.290548892264834,0.88100661986614,0.675308430964017,"0000",0,2.18417876150867
"GO:0000826","inositol pyrophosphate synthase activity","MF",0.216979564711746,1,1,1,"0000",0,3.21697956471175
"GO:0000827","inositol 1,3,4,5,6-pentakisphosphate kinase activity","MF",0.216979564711746,1,1,1,"0000",0,3.21697956471175
"GO:0000828","inositol hexakisphosphate kinase activity","MF",0.216979564711746,1,1,1,"0000",0,3.21697956471175
"GO:0000832","inositol hexakisphosphate 5-kinase activity","MF",0.216979564711746,1,1,1,"0000",0,3.21697956471175
"GO:0000900","translation repressor activity, nucleic acid binding","MF",1,1,1,1,"0000",0,4
"GO:0000902","cell morphogenesis","BP",0.388593747383627,0.848461135571922,0.921009628500196,0.997166017954804,"0000",0,3.15523052941055
"GO:0000904","cell morphogenesis involved in differentiation","BP",0.943431978719667,0.960492379020581,0.98744437418356,0.999463176604682,"0000",0,3.89083190852849
"GO:0000910","cytokinesis","BP",0.402209557845693,0.432189537908941,0.424358971804282,0.384603078896968,"0000",0,1.64336114645588
"GO:0000920","cell separation during cytokinesis","BP",0.207280080889788,1,1,1,"0000",0,3.20728008088979
"GO:0000921","septin ring assembly","BP",1,1,1,1,"0000",0,4
"GO:0000956","nuclear-transcribed mRNA catabolic process","BP",0.467401587303767,0.427746804304919,1,1,"0000",0,2.89514839160869
"GO:0000966","RNA 5'-end processing","BP",1,1,1,1,"0000",0,4
"GO:0001101","response to acid","BP",1,1,0.280727500175854,0.075654044327613,"0000",0,2.35638154450347
"GO:0001300","chronological cell aging","BP",1,1,0.233475282355119,1,"0000",0,3.23347528235512
"GO:0001301","progressive alteration of chromatin during cell aging","BP",1,1,1,1,"0000",0,4
"GO:0001302","replicative cell aging","BP",1,1,0.138025305373524,0.046999445675183,"0001",1,2.18502475104871
"GO:0001304","progressive alteration of chromatin during replicative cell aging","BP",1,1,1,1,"0000",0,4
"GO:0001306","age-dependent response to oxidative stress","BP",1,1,1,1,"0000",0,4
"GO:0001309","age-dependent telomere shortening","BP",1,1,1,1,"0000",0,4
"GO:0001315","age-dependent response to reactive oxygen species","BP",1,1,1,1,"0000",0,4
"GO:0001501","skeletal system development","BP",0.996728023086554,0.65849835948291,0.81035844702376,0.955660471759852,"0000",0,3.42124530135308
"GO:0001502","cartilage condensation","BP",1,1,0.615597907067935,0.83940015665394,"0000",0,3.45499806372188
"GO:0001503","ossification","BP",0.997068169513421,0.613576720142708,0.242697330516526,0.217611856796336,"0000",0,2.07095407696899
"GO:0001504","neurotransmitter uptake","BP",0.60521175662764,1,1,1,"0000",0,3.60521175662764
"GO:0001505","regulation of neurotransmitter levels","BP",0.576486370932101,1,0.902196397857617,1,"0000",0,3.47868276878972
"GO:0001508","regulation of action potential","BP",0.177440639959436,0.752594476050951,0.925753951920931,0.668728906785679,"0000",0,2.52451797471700
"GO:0001510","RNA methylation","BP",1,1,1,1,"0000",0,4
"GO:0001514","selenocysteine incorporation","BP",1,1,0.234117587816611,0.430055340580643,"0000",0,2.66417292839725
"GO:0001515","opioid peptide activity","MF",1,1,1,1,"0000",0,4
"GO:0001516","prostaglandin biosynthetic process","BP",0.277664006645852,1,1,1,"0000",0,3.27766400664585
"GO:0001517","N-acetylglucosamine 6-O-sulfotransferase activity","MF",1,1,1,1,"0000",0,4
"GO:0001522","pseudouridine synthesis","BP",1,1,1,1,"0000",0,4
"GO:0001523","retinoid metabolic process","BP",0.844252235877966,1,0.166121795578178,1,"0000",0,3.01037403145614
"GO:0001525","angiogenesis","BP",0.484682022282249,0.107257651317783,0.512502907747196,0.690169553686891,"0000",0,1.79461213503412
"GO:0001530","lipopolysaccharide binding","MF",0.38632554237345,0.154381521590725,0.672511867061278,1,"0000",0,2.21321893102545
"GO:0001532","interleukin-21 receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001537","N-acetylgalactosamine 4-O-sulfotransferase activity","MF",1,1,1,1,"0000",0,4
"GO:0001539","ciliary or flagellar motility","BP",0.160666871091937,0.588730351769823,0.186691525355214,0.133092710528513,"0000",0,1.06918145874549
"GO:0001540","beta-amyloid binding","MF",0.38632554237345,1,0.567048082314409,0.349252549179301,"0000",0,2.30262617386716
"GO:0001541","ovarian follicle development","BP",1,1,0.132484034430059,0.00167169247048387,"0001",1,2.13415572690054
"GO:0001542","ovulation from ovarian follicle","BP",1,1,0.658420819979181,0.334301005223277,"0000",0,2.99272182520246
"GO:0001543","ovarian follicle rupture","BP",1,1,0.412472998827377,1,"0000",0,3.41247299882738
"GO:0001544","initiation of primordial ovarian follicle growth","BP",1,1,1,1,"0000",0,4
"GO:0001547","antral ovarian follicle growth","BP",1,1,1,1,"0000",0,4
"GO:0001553","luteinization","BP",1,1,1,1,"0000",0,4
"GO:0001555","oocyte growth","BP",1,1,1,0.131086835771154,"0000",0,3.13108683577115
"GO:0001556","oocyte maturation","BP",1,1,0.136065024788439,0.102778357977403,"0000",0,2.23884338276584
"GO:0001558","regulation of cell growth","BP",0.405785788963989,0.817052121531677,0.564335240685844,0.532350903392705,"0000",0,2.31952405457421
"GO:0001560","regulation of cell growth by extracellular stimulus","BP",0.207280080889788,1,1,1,"0000",0,3.20728008088979
"GO:0001561","fatty acid alpha-oxidation","BP",0.37162282494938,1,0.412472998827377,0.245011006192269,"0000",0,2.02910682996903
"GO:0001562","response to protozoan","BP",1,1,0.549696845554305,0.046999445675183,"0001",1,2.59669629122949
"GO:0001565","phorbol ester receptor activity","MF",1,1,0.42765868442539,1,"0000",0,3.42765868442539
"GO:0001566","non-kinase phorbol ester receptor activity","MF",1,1,0.42765868442539,1,"0000",0,3.42765868442539
"GO:0001568","blood vessel development","BP",0.17912792852707,0.110522138788385,0.85972551207406,0.974667047395398,"0000",0,2.12404262678491
"GO:0001569","patterning of blood vessels","BP",1,1,0.564335240685844,0.782579506261697,"0000",0,3.34691474694754
"GO:0001570","vasculogenesis","BP",0.192031974157526,0.398050009644503,0.839461073426077,0.991713693985337,"0000",0,2.42125675121344
"GO:0001571","non-tyrosine kinase fibroblast growth factor receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001573","ganglioside metabolic process","BP",0.501916811010112,0.316583960030924,0.426495565527649,0.569794295104183,"0000",0,1.81479063167287
"GO:0001574","ganglioside biosynthetic process","BP",1,1,1,1,"0000",0,4
"GO:0001575","globoside metabolic process","BP",0.207280080889788,1,0.233475282355119,1,"0000",0,2.44075536324491
"GO:0001578","microtubule bundle formation","BP",0.160666871091937,0.198886741524439,0.424358971804282,0.384603078896968,"0000",0,1.16851566331763
"GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste","BP",0.0429373368301954,0.0141775838510372,0.144065997597051,4.98122282927121e-06,"1101",3,0.201185899501113
"GO:0001582","detection of chemical stimulus involved in sensory perception of sweet taste","BP",1,1,1,1,"0000",0,4
"GO:0001588","dopamine receptor coupled via Gs","MF",1,1,1,1,"0000",0,4
"GO:0001589","dopamine D5 receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001590","dopamine D1 receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001591","dopamine receptor coupled via Gi/Go","MF",1,1,1,1,"0000",0,4
"GO:0001593","dopamine D4 receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001594","trace-amine receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001595","angiotensin receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001596","angiotensin type I receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001600","endothelin-B receptor activity","MF",1,1,0.243442622950820,0.133401639344262,"0000",0,2.37684426229508
"GO:0001601","peptide YY receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001602","pancreatic polypeptide receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001607","neuromedin U receptor activity","MF",0.386907229797565,1,1,1,"0000",0,3.38690722979756
"GO:0001608","nucleotide receptor activity, G-protein coupled","MF",1,1,1,1,"0000",0,4
"GO:0001609","adenosine receptor activity, G-protein coupled","MF",1,1,1,1,"0000",0,4
"GO:0001614","purinergic nucleotide receptor activity","MF",1,0.317307385091351,1,1,"0000",0,3.31730738509135
"GO:0001616","growth hormone secretagogue receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001618","viral receptor activity","MF",1,1,1,1,"0000",0,4
"GO:0001619","lysosphingolipid and lysophosphatidic acid receptor activity","MF",1,1,0.672511867061278,1,"0000",0,3.67251186706128
"GO:0001621","platelet ADP receptor activity","MF",1,1,1,1,"0000",0,4
