"","GO","Pvalue","OddsRatio","ExpCount","Count","Size","Term","ontology"
"20","GO:0051436",1.42612793876946e-07,5.32606672869866,34.7440278085940,54,62,"negative regulation of ubiquitin-protein ligase activity during mitotic cell cycle","BP"
"21","GO:0000398",2.4923293353245e-07,3.21111409036064,56.5192222057296,81,101,"nuclear mRNA splicing, via spliceosome","BP"
"22","GO:0043933",2.53548113050612e-07,1.51899587089170,368.735004807337,431,658,"macromolecular complex subunit organization","BP"
"23","GO:0006281",2.5950980457952e-07,2.45973405849857,86.5204918032787,117,155,"DNA repair","BP"
"24","GO:0006120",3.57691372187640e-07,13.3917539440541,20.1739516307965,34,36,"mitochondrial electron transport, NADH to ubiquinone","BP"
"25","GO:0042773",4.84178398039738e-07,7.88111980894255,24.6570519931958,40,44,"ATP synthesis coupled electron transport","BP"
"26","GO:0051438",5.39171644747911e-07,4.01201880432854,40.908290806893,61,73,"regulation of ubiquitin-protein ligase activity","BP"
"27","GO:0006733",1.28481971022178e-06,7.48507759649821,23.5362769025960,38,42,"oxidoreduction coenzyme metabolic process","BP"
"28","GO:0051351",1.81432255622179e-06,3.81318437735514,39.2271281709933,58,70,"positive regulation of ligase activity","BP"
"29","GO:0051437",3.5222869754479e-06,3.8715454424613,36.4251904444938,54,65,"positive regulation of ubiquitin-protein ligase activity during mitotic cell cycle","BP"
"30","GO:0044248",5.59703375916713e-06,1.40064984521645,430.124633320797,489,771,"cellular catabolic process","BP"
"31","GO:0043038",6.9562725825596e-06,5.2523108221662,25.7778270837956,40,46,"amino acid activation","BP"
"32","GO:0009057",7.68903332952815e-06,1.39339384879437,432.058797426226,490,771,"macromolecule catabolic process","BP"
"33","GO:0015031",1.11285245920774e-05,1.61921886649725,195.963738858841,235,352,"protein transport","BP"
"34","GO:0008380",1.45398437857537e-05,2.25483538519306,72.5095341359456,96,130,"RNA splicing","BP"
"35","GO:0006886",1.72537460788366e-05,2.15825843343992,78.7572354537232,103,141,"intracellular protein transport","BP"
"36","GO:0006457",1.80551439637488e-05,2.11767842768983,82.3186935268849,107,147,"protein folding","BP"
"37","GO:0051649",3.29120205849882e-05,1.34609931059532,457.919964428635,513,818,"establishment of localization in cell","BP"
"38","GO:0006399",3.75065263537026e-05,4.75494388027793,23.4703128483317,36,42,"tRNA metabolic process","BP"
"39","GO:0009108",3.82627725425129e-05,4.04171648731234,27.4446417998816,41,49,"coenzyme biosynthetic process","BP"
"40","GO:0006418",4.04166379445205e-05,4.72707973994958,23.5308130502330,36,42,"tRNA aminoacylation for protein translation","BP"
"41","GO:0045454",4.05832651167908e-05,3.28373411274966,34.7440278085940,50,62,"cell redox homeostasis","BP"
"42","GO:0006367",6.51505924468518e-05,2.98369028632187,37.5459655350936,53,67,"transcription initiation from RNA polymerase II promoter","BP"
"43","GO:0007131",9.04555608513522e-05,15.7284636760619,11.7681384512980,20,21,"reciprocal meiotic recombination","BP"
"44","GO:0022613",0.000145705339396758,2.42994189974328,47.3985956524987,64,85,"ribonucleoprotein complex biogenesis","BP"
"45","GO:0044237",0.000149536171744515,1.33989361927209,390.008588605783,436,717,"cellular metabolic process","BP"
"46","GO:0051321",0.000247116749105396,2.40396487493348,45.3913911692922,61,81,"meiotic cell cycle","BP"
"47","GO:0007059",0.000257516260138057,6.31024857104878,15.1119104123406,24,27,"chromosome segregation","BP"
"48","GO:0016053",0.000289708392541454,2.23376392773117,51.5556541675912,68,92,"organic acid biosynthetic process","BP"
"49","GO:0022607",0.000308751561471587,1.33053587643407,362.570741809038,405,647,"cellular component assembly","BP"
"50","GO:0006368",0.000315091883668910,3.32390090050257,26.3382146290955,38,47,"RNA elongation from RNA polymerase II promoter","BP"
"51","GO:0046164",0.000496874132571646,2.45591362541827,39.2271281709933,53,70,"alcohol catabolic process","BP"
"52","GO:0051186",0.000531269323822332,2.26684310453944,45.2551339285714,60,81,"cofactor metabolic process","BP"
"53","GO:0044275",0.000614800273832548,2.28482510972204,43.7102285333925,58,78,"cellular carbohydrate catabolic process","BP"
"54","GO:0019320",0.000697123614794974,2.46113989637306,36.9855779897937,50,66,"hexose catabolic process","BP"
"55","GO:0006297",0.000755370290743324,12.5761142705991,9.52658827009837,16,17,"nucleotide-excision repair, DNA gap filling","BP"
"56","GO:0006888",0.000774092371873864,3.80237590531708,19.6135640854966,29,35,"ER to Golgi vesicle-mediated transport","BP"
"57","GO:0048199",0.000955426639302526,Inf,6.72465054359885,12,12,"vesicle targeting, to, from or within Golgi","BP"
"58","GO:0006633",0.00105487927522501,2.17565659060539,44.2706160786924,58,79,"fatty acid biosynthetic process","BP"
"59","GO:0034622",0.00107568029310505,1.48832325023774,150.942972608891,176,270,"cellular macromolecular complex assembly","BP"
"60","GO:0006767",0.00113900917507405,3.67719950433705,19.0385897340938,28,34,"water-soluble vitamin metabolic process","BP"
"61","GO:0051650",0.00133099785018751,4.52144559173948,15.1304637230974,23,27,"establishment of vesicle localization","BP"
"62","GO:0006412",0.00139080186515284,1.65075882245383,91.752046871479,111,165,"translation","BP"
"63","GO:0007126",0.00145997896750367,2.16750931346461,42.0144284128746,55,75,"meiosis","BP"
"64","GO:0010498",0.00146210757267809,2.01685611606549,49.8744915316914,64,89,"proteasomal protein catabolic process","BP"
"65","GO:0006397",0.00147007650371318,1.67497279651795,86.4434223319123,105,155,"mRNA processing","BP"
"66","GO:0006629",0.00207834616020135,1.24786668005220,423.652984246727,462,756,"lipid metabolic process","BP"
"67","GO:0000724",0.00214543026842854,11.0011900039667,8.40581317949856,14,15,"double-strand break repair via homologous recombination","BP"
"68","GO:0065004",0.00233438076500262,1.62301513747297,89.1016197026847,107,159,"protein-DNA complex assembly","BP"
"69","GO:0006284",0.00263067494407910,4.97834524124548,12.3285259965979,19,22,"base-excision repair","BP"
"70","GO:0044238",0.00270429734239348,1.10689324425993,3280.79708383961,3358,5904,"primary metabolic process","BP"
"71","GO:0006497",0.00279305486059168,2.57486950127184,26.3382146290955,36,47,"protein amino acid lipidation","BP"
"72","GO:0048205",0.00304614181445398,Inf,5.60387545299904,10,10,"COPI coating of Golgi vesicle","BP"
"73","GO:0006890",0.00322968589943023,6.28699907419653,10.0869758153983,16,18,"retrograde vesicle-mediated transport, Golgi to ER","BP"
"74","GO:0007093",0.00347029841438979,3.61942236354001,15.6853866074732,23,28,"mitotic cell cycle checkpoint","BP"
"75","GO:0051640",0.00362045448112945,2.36232076473712,29.1300036995930,39,52,"organelle localization","BP"
"76","GO:0006096",0.00377412855723927,2.42577365163572,27.4589897196953,37,49,"glycolysis","BP"
"77","GO:0000718",0.00410005108515189,4.71570313533536,11.7681384512980,18,21,"nucleotide-excision repair, DNA damage removal","BP"
"78","GO:0006979",0.00420813539919768,1.73777188828077,61.0822424376895,75,109,"response to oxidative stress","BP"
"79","GO:0006829",0.00474535390587637,3.93013100436681,13.4493010871977,20,24,"zinc ion transport","BP"
"80","GO:0008156",0.00474535390587637,3.93013100436681,13.4493010871977,20,24,"negative regulation of DNA replication","BP"
"81","GO:0006744",0.00543861894779363,Inf,5.04348790769913,9,9,"ubiquinone biosynthetic process","BP"
"82","GO:0009396",0.00543861894779363,Inf,5.04348790769913,9,9,"folic acid and derivative biosynthetic process","BP"
"83","GO:0042375",0.00543861894779363,Inf,5.04348790769913,9,9,"quinone cofactor metabolic process","BP"
"84","GO:0006730",0.00552578744061311,2.92588300115897,18.4775510204082,26,33,"one-carbon compound metabolic process","BP"
"85","GO:0006308",0.00590496664776021,9.45850484663391,7.27440652818991,12,13,"DNA catabolic process","BP"
"86","GO:0005996",0.00595269231718259,1.56059374164215,83.4977442496857,99,149,"monosaccharide metabolic process","BP"
"87","GO:0006637",0.00600011324291275,9.42709847984137,7.28503808889875,12,13,"acyl-CoA metabolic process","BP"
"88","GO:0007030",0.00600011324291275,9.42709847984137,7.28503808889875,12,13,"Golgi organization","BP"
"89","GO:0006310",0.00612323944612502,2.20069570189650,29.6460019303586,39,53,"DNA recombination","BP"
"90","GO:0042364",0.00634909619903886,4.45313051146384,11.2077509059981,17,20,"water-soluble vitamin biosynthetic process","BP"
"91","GO:0043632",0.00636223700000424,1.25239734910383,308.213149914947,337,550,"modification-dependent macromolecule catabolic process","BP"
"92","GO:0034962",0.00663717725229631,1.25019849646192,309.333925005547,338,552,"cellular biopolymer catabolic process","BP"
"93","GO:0006511",0.00705237693860939,1.24850859055729,307.652762369647,336,549,"ubiquitin-dependent protein catabolic process","BP"
"94","GO:0019059",0.00715609003979222,3.73313045779307,12.8889135418978,19,23,"initiation of viral infection","BP"
"95","GO:0051726",0.00748950921137166,1.56815000324861,76.571214280357,91,137,"regulation of cell cycle","BP"
"96","GO:0000245",0.00792880184430436,3.01328214632424,16.2512388136972,23,29,"spliceosome assembly","BP"
"97","GO:0007017",0.0081232024489996,1.43483451219148,113.758671695880,131,203,"microtubule-based process","BP"
"98","GO:0010212",0.00965475039030573,Inf,4.47992889942231,8,8,"response to ionizing radiation","BP"
"99","GO:0009435",0.00970961260953038,Inf,4.48310036239923,8,8,"NAD biosynthetic process","BP"
"100","GO:0010165",0.00996265256160895,8.64036478984933,6.72465054359885,11,12,"response to X-ray","BP"
"101","GO:0055080",0.010613081250548,2.45286285748403,20.7089138576779,28,37,"cation homeostasis","BP"
"102","GO:0051234",0.0106835275931933,1.12843837120940,977.052619122752,1022,1759,"establishment of localization","BP"
"103","GO:0046395",0.0111693145225144,2.55489339160376,19.0531765401967,26,34,"carboxylic acid catabolic process","BP"
"104","GO:0006084",0.0112251382846755,3.14357549292047,14.0096886324976,20,25,"acetyl-CoA metabolic process","BP"
"105","GO:0000819",0.0113754893550655,2.69501238864406,17.3720139042970,24,31,"sister chromatid segregation","BP"
"106","GO:0006505",0.0113754893550655,2.69501238864406,17.3720139042970,24,31,"GPI anchor metabolic process","BP"
"107","GO:0007051",0.0114165104298169,2.88188837414516,15.6908512683973,22,28,"spindle organization","BP"
"108","GO:0030163",0.0115499978463414,1.22141200752747,325.024776273944,352,580,"protein catabolic process","BP"
"109","GO:0065002",0.0115920021373063,1.83585724406660,39.2271281709933,49,70,"intracellular protein transmembrane transport","BP"
"110","GO:0005975",0.012015277858852,1.24224882260597,272.348347015753,297,486,"carbohydrate metabolic process","BP"
"111","GO:0055114",0.0123304152189096,1.24090643274854,271.444452723344,296,486,"oxidation reduction","BP"
"112","GO:0006769",0.0129448765102769,5.1125529661017,8.40119937810024,13,15,"nicotinamide metabolic process","BP"
"113","GO:0006901",0.0130223758341891,5.10616076150185,8.40581317949856,13,15,"vesicle coating","BP"
"114","GO:0032392",0.0130223758341891,5.10616076150185,8.40581317949856,13,15,"DNA geometric change","BP"
"115","GO:0045786",0.0136749299650713,1.47150887887489,85.1789068855854,99,152,"negative regulation of cell cycle","BP"
"116","GO:0007076",0.0148951580074580,3.92819359957683,10.0869758153983,15,18,"mitotic chromosome condensation","BP"
"117","GO:0009451",0.0149375867237817,2.35827814569536,20.1739516307965,27,36,"RNA modification","BP"
"118","GO:0006261",0.0155113680624091,1.89972160095094,32.4808589411329,41,58,"DNA-dependent DNA replication","BP"
"119","GO:0009584",0.0155400052866916,2.45630296610170,18.4927889948968,25,33,"detection of visible light","BP"
"120","GO:0042157",0.0158999892425201,1.74450889091728,41.4686783521929,51,74,"lipoprotein metabolic process","BP"
"121","GO:0006904",0.0159075379330583,3.33928571428571,11.7681384512980,17,21,"vesicle docking during exocytosis","BP"
"122","GO:0000387",0.0163100309186199,2.75052938062467,15.1304637230974,21,27,"spliceosomal snRNP biogenesis","BP"
"123","GO:0008203",0.016387321608395,1.65813476228480,48.7537164410916,59,87,"cholesterol metabolic process","BP"
"124","GO:0048194",0.0164472719640465,7.85383903792784,6.16426299829894,10,11,"Golgi vesicle budding","BP"
"125","GO:0008635",0.0173336466057059,Inf,3.92271281709933,7,7,"activation of caspase activity by cytochrome c","BP"
"126","GO:0033151",0.0173336466057059,Inf,3.92271281709933,7,7,"V(D)J recombination","BP"
"127","GO:0042273",0.0173336466057059,Inf,3.92271281709933,7,7,"ribosomal large subunit biogenesis","BP"
"128","GO:0022411",0.0193080997105009,1.59924699700344,52.676429258191,63,94,"cellular component disassembly","BP"
"129","GO:0034641",0.0198163682809816,1.29617157974301,159.517772159429,177,285,"cellular nitrogen compound metabolic process","BP"
"130","GO:0044270",0.0199663595350854,1.71007561185529,40.908290806893,50,73,"nitrogen compound catabolic process","BP"
"131","GO:0006739",0.0204266546372096,4.71275611368143,7.84542563419865,12,14,"NADP metabolic process","BP"
"132","GO:0008272",0.0204266546372096,4.71275611368143,7.84542563419865,12,14,"sulfate transport","BP"
"133","GO:0043681",0.0204266546372096,4.71275611368143,7.84542563419865,12,14,"protein import into mitochondrion","BP"
"134","GO:0050892",0.0204266546372096,4.71275611368143,7.84542563419865,12,14,"intestinal absorption","BP"
"135","GO:0008152",0.0205756748961769,1.33866626015958,119.595467613732,135,224,"metabolic process","BP"
"136","GO:0009116",0.0214529554918301,2.35773864689527,17.9324014495969,24,32,"nucleoside metabolic process","BP"
"137","GO:0050962",0.0214529554918301,2.35773864689527,17.9324014495969,24,32,"detection of light stimulus involved in sensory perception","BP"
"138","GO:0006958",0.0223778802699993,2.46977403800700,16.2512388136972,22,29,"complement activation, classical pathway","BP"
"139","GO:0007031",0.0224751141934273,3.66776910526084,9.52437671080861,14,17,"peroxisome organization","BP"
"140","GO:0009988",0.0225315203189077,3.66582925646789,9.52658827009837,14,17,"cell-cell recognition","BP"
"141","GO:0006260",0.0225714534271838,1.45095661546753,76.039309112567,88,136,"DNA replication","BP"
"142","GO:0006605",0.0227359346904649,1.37017778340161,104.128028450767,118,186,"protein targeting","BP"
"143","GO:0051188",0.0228390126624853,2.84346783859369,12.8590210205749,18,23,"cofactor biosynthetic process","BP"
"144","GO:0006413",0.0232631146690889,2.83400185947669,12.8778841160323,18,23,"translational initiation","BP"
"145","GO:0006302",0.0232973615471545,2.83324055666004,12.8793869391382,18,23,"double-strand break repair","BP"
"146","GO:0019439",0.0234167488707751,3.14244147599524,11.2077509059981,16,20,"aromatic compound catabolic process","BP"
"147","GO:0006099",0.0235143969686538,2.82846937425585,12.8889135418978,18,23,"tricarboxylic acid cycle","BP"
"148","GO:0009123",0.0235143969686538,2.82846937425585,12.8889135418978,18,23,"nucleoside monophosphate metabolic process","BP"
"149","GO:0031023",0.0235143969686538,2.82846937425585,12.8889135418978,18,23,"microtubule organizing center organization","BP"
"150","GO:0006626",0.0268528484022469,7.07636315510852,5.60079958540016,9,10,"protein targeting to mitochondrion","BP"
"151","GO:0016180",0.0269709131478504,7.06752114164905,5.60387545299904,9,10,"snRNA processing","BP"
"152","GO:0006919",0.0292039230741399,2.26129587915728,17.3649548616250,23,31,"activation of caspase activity","BP"
"153","GO:0006986",0.0295719668010075,1.68509597147409,36.9855779897937,45,66,"response to unfolded protein","BP"
"154","GO:0006446",0.0298740560692453,1.96501921293229,23.5362769025960,30,42,"regulation of translational initiation","BP"
"155","GO:0006006",0.0301340038626536,1.48866463372924,59.9614673470897,70,107,"glucose metabolic process","BP"
"156","GO:0006613",0.0308776758896312,Inf,3.36115427302997,6,6,"cotranslational protein targeting to membrane","BP"
"157","GO:0002446",0.0309423106427307,Inf,3.36232527179942,6,6,"neutrophil mediated immunity","BP"
"158","GO:0006283",0.0309423106427307,Inf,3.36232527179942,6,6,"transcription-coupled nucleotide-excision repair","BP"
"159","GO:0006467",0.0309423106427307,Inf,3.36232527179942,6,6,"protein thiol-disulfide exchange","BP"
"160","GO:0006614",0.0309423106427307,Inf,3.36232527179942,6,6,"SRP-dependent cotranslational protein targeting to membrane","BP"
"161","GO:0007094",0.0309423106427307,Inf,3.36232527179942,6,6,"mitotic cell cycle spindle assembly checkpoint","BP"
"162","GO:0018346",0.0309423106427307,Inf,3.36232527179942,6,6,"protein amino acid prenylation","BP"
"163","GO:0033683",0.0309423106427307,Inf,3.36232527179942,6,6,"nucleotide-excision repair, DNA incision","BP"
"164","GO:0045132",0.0309423106427307,Inf,3.36232527179942,6,6,"meiotic chromosome segregation","BP"
"165","GO:0048247",0.0309423106427307,Inf,3.36232527179942,6,6,"lymphocyte chemotaxis","BP"
"166","GO:0050000",0.0309423106427307,Inf,3.36232527179942,6,6,"chromosome localization","BP"
"167","GO:0022406",0.0309905923850287,2.3571995764955,15.6908512683973,21,28,"membrane docking","BP"
"168","GO:0042254",0.0310468426508016,2.50794923179693,13.960410775413,19,25,"ribosome biogenesis","BP"
"169","GO:0006289",0.0312664496026802,4.3366086841057,7.27236315086782,11,13,"nucleotide-excision repair","BP"
"170","GO:0046489",0.0322009372454296,2.00055395657462,21.8551142666963,28,39,"phosphoinositide biosynthetic process","BP"
"171","GO:0002200",0.0324407593846624,2.48791567434065,14.0096886324976,19,25,"somatic diversification of immune receptors","BP"
"172","GO:0006752",0.0324407593846624,2.48791567434065,14.0096886324976,19,25,"group transfer coenzyme metabolic process","BP"
"173","GO:0009593",0.0324407593846624,2.48791567434065,14.0096886324976,19,25,"detection of chemical stimulus","BP"
"174","GO:0009156",0.0335715382575264,2.67097883597884,12.3285259965979,17,22,"ribonucleoside monophosphate biosynthetic process","BP"
"175","GO:0033077",0.0335715382575264,2.67097883597884,12.3285259965979,17,22,"T cell differentiation in the thymus","BP"
"176","GO:0032787",0.0335967454282353,1.7842521280908,29.0289746284342,36,52,"monocarboxylic acid metabolic process","BP"
"177","GO:0006891",0.0337588518984751,3.40353428521065,8.96620072479846,13,16,"intra-Golgi vesicle-mediated transport","BP"
"178","GO:0009127",0.0337588518984751,3.40353428521065,8.96620072479846,13,16,"purine nucleoside monophosphate biosynthetic process","BP"
"179","GO:0016254",0.0337588518984751,3.40353428521065,8.96620072479846,13,16,"preassembly of GPI anchor in ER membrane","BP"
"180","GO:0006892",0.0341421502852275,2.94564929912721,10.6473633606982,15,19,"post-Golgi vesicle-mediated transport","BP"
"181","GO:0019370",0.0341421502852275,2.94564929912721,10.6473633606982,15,19,"leukotriene biosynthetic process","BP"
"182","GO:0044242",0.0361888742457784,1.57289036544850,43.7102285333925,52,78,"cellular lipid catabolic process","BP"
"183","GO:0050658",0.0370806130197991,1.54489687393171,46.512166259892,55,83,"RNA transport","BP"
"184","GO:0051052",0.0370806130197991,1.54489687393171,46.512166259892,55,83,"regulation of DNA metabolic process","BP"
"185","GO:0043281",0.0417741957988317,1.71086753003589,30.2609274461948,37,54,"regulation of caspase activity","BP"
"186","GO:0006997",0.0423229499851512,1.92885009030704,21.2947267213963,27,38,"nucleus organization","BP"
"187","GO:0032259",0.0426509315412452,1.79645933920288,25.7778270837956,32,46,"methylation","BP"
"188","GO:0006520",0.0432588295478085,1.43820308346624,59.7821516439275,69,107,"amino acid metabolic process","BP"
"189","GO:0008206",0.0437883423784682,6.28556319407721,5.04202426753477,8,9,"bile acid metabolic process","BP"
"190","GO:0006098",0.0438775619034243,6.28141101862862,5.04348790769913,8,9,"pentose-phosphate shunt","BP"
"191","GO:0006379",0.0438775619034243,6.28141101862862,5.04348790769913,8,9,"mRNA cleavage","BP"
"192","GO:0016558",0.0438775619034243,6.28141101862862,5.04348790769913,8,9,"protein import into peroxisome matrix","BP"
"193","GO:0030174",0.0438775619034243,6.28141101862862,5.04348790769913,8,9,"regulation of DNA replication initiation","BP"
"194","GO:0042274",0.0438775619034243,6.28141101862862,5.04348790769913,8,9,"ribosomal small subunit biogenesis","BP"
"195","GO:0016064",0.0439161484592207,1.65499326131436,33.0628651726943,40,59,"immunoglobulin mediated immune response","BP"
"196","GO:0000077",0.0449866377585774,2.35790866975513,13.4461788858475,18,24,"DNA damage checkpoint","BP"
"197","GO:0016444",0.0451069258285979,2.35666093398598,13.4493010871977,18,24,"somatic cell DNA recombination","BP"
"198","GO:0000079",0.0455964799203061,1.71937151949085,28.5797648102951,35,51,"regulation of cyclin-dependent protein kinase activity","BP"
"199","GO:0031647",0.0458456649068174,1.96438029661017,19.6135640854966,25,35,"regulation of protein stability","BP"
"200","GO:0000184",0.0474462238714683,2.51352995635498,11.7681384512980,16,21,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"201","GO:0006471",0.0474462238714683,2.51352995635498,11.7681384512980,16,21,"protein amino acid ADP-ribosylation","BP"
"202","GO:0006268",0.0488703689762342,3.92625875512092,6.72465054359885,10,12,"DNA unwinding during replication","BP"
"203","GO:0010332",0.0488703689762342,3.92625875512092,6.72465054359885,10,12,"response to gamma radiation","BP"
"204","GO:0015908",0.0488703689762342,3.92625875512092,6.72465054359885,10,12,"fatty acid transport","BP"
"205","GO:0034404",0.0488703689762342,3.92625875512092,6.72465054359885,10,12,"nucleobase, nucleoside and nucleotide biosynthetic process","BP"
"206","GO:0006641",0.0496092648439129,2.00783984938075,17.9324014495969,23,32,"triglyceride metabolic process","BP"
"207","GO:0015992",0.0498977769804273,1.61149150743100,34.1836402632941,41,61,"proton transport","BP"
"208","GO:0052547",0.0498977769804273,1.61149150743100,34.1836402632941,41,61,"regulation of peptidase activity","BP"
"209","GO:0007004",0.0500437698492913,3.14130865829478,8.40581317949856,12,15,"telomere maintenance via telomerase","BP"
"210","GO:0030004",0.0500437698492913,3.14130865829478,8.40581317949856,12,15,"cellular monovalent inorganic cation homeostasis","BP"
"211","GO:0002253",0.0514156131519125,1.57228195937873,36.9855779897937,44,66,"activation of immune response","BP"
"212","GO:0007602",0.0535989616869811,2.06220222339862,16.2512388136972,21,29,"phototransduction","BP"
"213","GO:0033692",0.0535989616869811,2.06220222339862,16.2512388136972,21,29,"cellular polysaccharide biosynthetic process","BP"
"214","GO:0006638",0.0551648448885136,1.85716521592565,20.7343391760964,26,37,"neutral lipid metabolic process","BP"
"215","GO:0000389",0.0552319427690371,Inf,2.80193772649952,5,5,"nuclear mRNA 3'-splice site recognition","BP"
"216","GO:0001556",0.0552319427690371,Inf,2.80193772649952,5,5,"oocyte maturation","BP"
"217","GO:0002251",0.0552319427690371,Inf,2.80193772649952,5,5,"organ or tissue specific immune response","BP"
"218","GO:0006072",0.0552319427690371,Inf,2.80193772649952,5,5,"glycerol-3-phosphate metabolic process","BP"
"219","GO:0006390",0.0552319427690371,Inf,2.80193772649952,5,5,"transcription from mitochondrial promoter","BP"
"220","GO:0006699",0.0552319427690371,Inf,2.80193772649952,5,5,"bile acid biosynthetic process","BP"
"221","GO:0006824",0.0552319427690371,Inf,2.80193772649952,5,5,"cobalt ion transport","BP"
"222","GO:0007089",0.0552319427690371,Inf,2.80193772649952,5,5,"traversing start control point of mitotic cell cycle","BP"
"223","GO:0015701",0.0552319427690371,Inf,2.80193772649952,5,5,"bicarbonate transport","BP"
"224","GO:0015802",0.0552319427690371,Inf,2.80193772649952,5,5,"basic amino acid transport","BP"
"225","GO:0034379",0.0552319427690371,Inf,2.80193772649952,5,5,"very-low-density lipoprotein particle assembly","BP"
"226","GO:0045008",0.0552319427690371,Inf,2.80193772649952,5,5,"depyrimidination","BP"
"227","GO:0009109",0.0577772485427486,2.13214002192568,14.5700761777975,19,26,"coenzyme catabolic process","BP"
"228","GO:0019751",0.060116846082903,1.88555540844697,19.0531765401967,24,34,"polyol metabolic process","BP"
"229","GO:0034097",0.0620667719093319,2.22544091710758,12.8889135418978,17,23,"response to cytokine stimulus","BP"
"230","GO:0043449",0.0620667719093319,2.22544091710758,12.8889135418978,17,23,"cellular alkene metabolic process","BP"
"231","GO:0009101",0.0622218126468475,1.35091676621012,70.048443162488,79,125,"glycoprotein biosynthetic process","BP"
"232","GO:0002541",0.0650974786495246,1.76781456953642,21.8551142666963,27,39,"activation of plasma proteins during acute inflammatory response","BP"
"233","GO:0015986",0.0650974786495246,1.76781456953642,21.8551142666963,27,39,"ATP synthesis coupled proton transport","BP"
"234","GO:0006403",0.0651424864696293,1.44141628999380,47.6329413504918,55,85,"RNA localization","BP"
"235","GO:0046483",0.0651424864696293,1.44141628999380,47.6329413504918,55,85,"heterocycle metabolic process","BP"
"236","GO:0006487",0.0652430619140913,1.92174527468645,17.3662399171169,22,31,"protein amino acid N-linked glycosylation","BP"
"237","GO:0006953",0.0655071677563303,1.92028825648945,17.3720139042970,22,31,"acute-phase response","BP"
"238","GO:0055086",0.0656053403481927,1.20389288623405,169.634159003263,183,303,"nucleobase, nucleoside and nucleotide metabolic process","BP"
"239","GO:0006383",0.0661045438400531,2.35790866975513,11.2040257529786,15,20,"transcription from RNA polymerase III promoter","BP"
"240","GO:0030330",0.0663183545285852,2.35612271885745,11.2077509059981,15,20,"DNA damage response, signal transduction by p53 class mediator","BP"
"241","GO:0032496",0.0663183545285852,2.35612271885745,11.2077509059981,15,20,"response to lipopolysaccharide","BP"
"242","GO:0045494",0.0663183545285852,2.35612271885745,11.2077509059981,15,20,"photoreceptor cell maintenance","BP"
"243","GO:0009117",0.0663338061662583,1.20308771691974,169.682693732405,183,303,"nucleotide metabolic process","BP"
"244","GO:0006461",0.0673314899901807,1.18755224097817,193.894090673767,208,346,"protein complex assembly","BP"
"245","GO:0043413",0.0680837731129343,1.35348651237180,65.5653428000888,74,117,"biopolymer glycosylation","BP"
"246","GO:0006959",0.0704776930558316,1.47778486055777,40.3479032615931,47,72,"humoral immune response","BP"
"247","GO:0002444",0.0705532419348203,5.49986779481756,4.48153903070662,7,8,"myeloid leukocyte mediated immunity","BP"
"248","GO:0009264",0.070602776941437,5.49841395717684,4.48205962861582,7,8,"deoxyribonucleotide catabolic process","BP"
"249","GO:0001573",0.0707018845789344,5.49550858652576,4.48310036239923,7,8,"ganglioside metabolic process","BP"
"250","GO:0006244",0.0707018845789344,5.49550858652576,4.48310036239923,7,8,"pyrimidine nucleotide catabolic process","BP"
