Gene,ENS ref,refseq match,gene symbol,# nucleotides,log likelihood dN/dS >= 0,log likelihood dN/dS=1,p-value for likelihood ratio test of dN/dS=1 versus dN/dS > 1.  Test not performed for data genes with 2 mutations or less or less than 50 codons. p=1 indicates that dN/dS < 1.,included in restrictive data set?
HC125,ENSG00000170142,NM_003341,UBE2E1,189,-241.028,-241.028,,yes
HC126,ENSG00000073734,NM_003742,ABCB11,1818,-2558.01,-2567.61,1,yes
HC127,ENSG00000171120,NM_013400,RIP60,1029,-1337.49,-1338.51,1,yes
HC128,ENSG00000164615,NM_001745,CAMLG,168,-218.979,-220.582,,yes
HC129,,,,609,-891.754,-893.281,0.058055,no
HC130,ENSG00000103342,,GSPT1,990,-1335.92,-1336.93,1,yes
HC131,ENSG00000189067,NM_004862,LITAF,369,-516.216,-517.71,1,yes
HC132,ENSG00000171490,NM_015659,,1206,-1629.6,-1631.35,1,yes
HC133,ENSG00000143633,NM_152379,DKFZp547B1713,408,-563.593,-563.601,1,yes
HC134,,,,90,,,,yes
HC135,ENSG00000075651,NM_002662,PLD1,2214,-3070.55,-3077.18,1,yes
HC136,,,,147,,,,no
HC137,ENSG00000163581,NM_000340,SLC2A2,1317,-1817.49,-1822.29,1,yes
HC138,,NM_003022,SH3BGRL,225,-303.363,-304.726,,yes
HC139,ENSG00000059377,NM_001061,TBXAS1,759,-1038.08,-1038.24,,yes
HC140,,,RAC1,342,-464.214,-465.447,,yes
HC141,,"XM_376679,XM_379933",,2958,-4055.36,-4056.63,1,no
HC142,ENSG00000036828,NM_000388,CASR,2295,-3161.78,-3173.13,1,yes
HC143,,,E2IG5,423,-581.263,-581.476,,no
HC144,ENSG00000163406,NM_021082,SLC15A2,1791,-2483.61,-2486.96,1,yes
HC145,ENSG00000145103,NM_175924,,801,-1076.92,-1079.22,1,yes
HC146,ENSG00000180011,NM_175907,LOC147632,909,-1270.14,-1273.42,1,yes
HC147,ENSG00000140660,NM_032167,FLJ12363,420,-565.404,-565.704,,yes
HC148,,,KIAA0222,1194,-1669.93,-1671.67,1,no
HC149,ENSG00000079482,NM_002547,OPHN1,1947,-2656.93,-2658.76,1,yes
HC150,,,PPP4R2,804,-1050.79,-1051.08,,yes
HC151,ENSG00000156467,NM_006294,UQCRB,312,-409.114,-410.371,,yes
HC152,,,,342,-492.751,-493.652,1,no
HC153,,,,360,-496.219,-496.861,,no
HC154,,NM_015313,ARHGEF12,4359,-5924.78,-5931.53,1,yes
HC155,,"XM_166527,XM_379771",,561,-741.16,-750.834,1,no
HC156,,NM_006288,THY1,471,-620.653,-623.825,,yes
HC157,,,EREG,234,-325.698,-325.936,,yes
HC158,ENSG00000163631,NM_000477,ALB,1140,-1562.68,-1562.71,1,yes
HC159,ENSG00000169306,NM_014271,IL1RAPL1,1230,-1675.6,-1678.11,,yes
HC160,ENSG00000120289,"NM_002363,NM_177404,NM_177415",MAGEB1,1035,-1459.33,-1459.57,1,yes
HC161,ENSG00000170260,NM_012256,ZNF212,615,-843.039,-843.564,1,yes
HC162,ENSG00000112584,NM_032448,KIAA1838,2553,-3755.43,-3755.45,0.432156,yes
HC163,ENSG00000114735,NM_016173,HEMK,774,-1064.63,-1064.64,0.608778,yes
HC164,,XM_371873,,150,-186.375,-186.375,,no
HC165,ENSG00000162873,NM_018203,FLJ10748,552,-746.2,-750.606,1,yes
HC166,ENSG00000163545,NM_030952,SNARK,1362,-1848.06,-1848.6,1,yes
HC167,ENSG00000133069,NM_014858,,1173,-1505.01,-1513.75,1,yes
HC168,ENSG00000133059,NM_015375,,789,-1072.23,-1072.6,,yes
HC169,ENSG00000117266,"NM_002596,NM_212502,NM_212503",,1122,-1459.48,-1459.92,,yes
HC170,ENSG00000174514,NM_181644,,855,-1136.8,-1139.51,,yes
HC171,ENSG00000106538,NM_002889,RARRES2,363,-475.084,-476.548,,yes
HC172,ENSG00000133627,NM_020445,,303,-408.059,-412.846,1,yes
HC173,ENSG00000163251,NM_003468,FZD5,1515,-1861.57,-1862.43,,yes
HC174,ENSG00000182324,"NM_013348,NM_170720",PSCD2,1047,-1371.36,-1373.94,1,yes
HC175,,NM_005655,TIEG,1047,-1433.23,-1433.36,,yes
HC176,ENSG00000164929,NM_024812,BAALC,255,-349.709,-349.881,,yes
HC177,,XM_372055,,288,-402.413,-403.182,,no
HC178,ENSG00000112486,NM_007045,FGFR1OP,852,-1161.51,-1161.74,1,yes
HC179,ENSG00000026297,NM_003730,RNASE6PL,651,-875.918,-875.918,,yes
HC180,ENSG00000071242,NM_021135,RPS6KA2,2088,-2819.65,-2835.16,1,yes
HC181,ENSG00000120910,NM_005605,PPP3CC,1398,-1891.92,-1891.92,,yes
HC182,,NM_003705,SLC25A12,1179,-1618.96,-1623.94,1,yes
HC183,ENSG00000077380,NM_001378,DNCI2,1362,-1804.52,-1805.91,,no
HC184,ENSG00000131080,NM_021783,XEDAR,372,-509.006,-509.626,,yes
HC185,ENSG00000127334,NM_006482,DYRK2,1416,-1928.98,-1935.47,1,yes
HC186,ENSG00000056291,NM_004885,GPR74,1455,-2047.67,-2047.76,1,yes
HC187,,NM_032217,,5085,-6821.99,-6831.32,1,yes
HC188,ENSG00000105486,NM_000234,LIG1,2112,-2882.43,-2893.94,1,yes
HC189,ENSG00000145050,NM_006010,ARMET,450,-604.234,-605.493,,yes
HC190,ENSG00000164934,NM_015420,DKFZP564O0463,747,-993.382,-993.382,,yes
HC191,ENSG00000164933,NM_030780,MFTC,939,-1281.84,-1284.31,,yes
HC192,ENSG00000164930,NM_003506,FZD6,924,-1290.13,-1290.19,1,yes
HC193,ENSG00000164932,NM_138455,CTHRC1,714,-990.527,-994.118,1,yes
HC194,ENSG00000063127,NM_014037,NTT5,1833,-2583.46,-2583.46,0.542209,yes
HC195,ENSG00000127241,NM_001879,MASP1,1515,-2053.42,-2058.21,1,yes
HC196,,,EBAG9,417,-557.294,-557.58,,yes
HC197,ENSG00000120526,NM_032869,CML66,1623,-2175.68,-2178.41,,yes
HC198,ENSG00000147642,,FLJ20366,1683,-2336.82,-2337.6,1,yes
HC199,ENSG00000164793,NM_177531,,1527,-2109.1,-2109.32,1,yes
HC200,,NM_080685,PTPN13,6594,-9038.27,-9045.45,1,yes
HC201,ENSG00000138678,NM_032717,MGC11324,795,-1082.09,-1084.6,,yes
HC202,ENSG00000163625,NM_014991,WDFY3,1872,-2563.21,-2563.42,,yes
HC203,ENSG00000175305,NM_057749,CCNE2,843,-1143.23,-1145.3,1,yes
HC204,,,,195,-262.884,-263.136,,no
HC205,ENSG00000082293,NM_001858,COL19A1,2241,-3022.49,-3022.96,1,yes
HC206,ENSG00000155052,NM_130773,caspr5,3162,-4358.97,-4361.06,1,yes
HC207,ENSG00000178279,NM_005425,TNP2,396,-535.48,-535.484,0.456111,yes
HC208,ENSG00000175646,NM_002761,PRM1,150,-206.61,-211.671,0,yes
HC209,ENSG00000179583,NM_000246,MHC2TA,2739,-3763.6,-3767.78,1,yes
HC210,ENSG00000175643,NM_152308,MGC24665,144,,,,yes
HC211,ENSG00000188897,XM_375302,,420,-593.514,-594.19,1,no
HC212,ENSG00000090776,NM_004429,EFNB1,909,-1222.21,-1224.7,1,yes
HC213,ENSG00000174429,NM_139166,,612,-821.679,-822.022,,yes
HC214,ENSG00000164830,NM_181354,OXR1,1599,-2148.21,-2151.14,1,no
HC215,ENSG00000162511,NM_006762,LAPTM5,660,-840.103,-840.171,1,yes
HC216,ENSG00000079246,NM_021141,XRCC5,1686,-2283.15,-2283.54,1,yes
HC217,ENSG00000138375,NM_014140,SMARCAL1,2793,-3840.3,-3843.72,1,yes
HC218,ENSG00000169083,NM_000044,AR,1587,-2173.79,-2173.79,1,no
HC219,,,,165,-223.331,-223.331,,no
HC220,ENSG00000109339,"NM_002753,NM_138982",MAPK10,189,-255.963,-257.252,,yes
HC221,,NM_172387,,1152,-1535.32,-1543.85,1,yes
HC222,ENSG00000006210,NM_002996,CX3CL1,468,-655.666,-656.151,1,yes
HC223,ENSG00000181938,NM_022770,FLJ13912,546,-747.521,-747.722,,yes
HC224,ENSG00000104728,NM_014629,ARHGEF10,2667,-3698.32,-3705.96,1,yes
HC225,ENSG00000036448,NM_003970,MYOM2,3855,-5397.46,-5438.53,1,yes
HC226,ENSG00000104284,,DLGAP2,2040,-2784.54,-2803.79,1,yes
HC227,ENSG00000182372,NM_018941,CLN8,624,-867.062,-868.82,1,yes
HC228,ENSG00000163577,NM_020390,EIF5A2,351,-476.565,-476.877,,yes
HC229,,XM_114317,,354,-467.277,-467.61,,no
HC230,ENSG00000147650,NM_013437,ST7,2190,-2947.25,-2948.53,1,yes
HC231,ENSG00000147647,NM_001385,DPYS,1158,-1587.56,-1587.96,1,yes
HC232,ENSG00000147655,NM_178565,,507,-687.813,-689.103,,yes
HC233,ENSG00000162924,NM_002908,REL,1218,-1669.25,-1669.54,1,yes
HC234,,,,840,-1129.47,-1132.18,,yes
HC235,,,AHSA2,156,-218.539,-219.171,,yes
HC236,,,,57,,,,no
HC237,ENSG00000183596,NM_016069,Magmas,363,-481.152,-482.471,,yes
HC238,ENSG00000103423,NM_005147,DNAJA3,1101,-1522.84,-1526.05,1,yes
HC239,ENSG00000103415,NM_002134,HMOX2,942,-1233.45,-1236.24,,yes
HC240,,,,210,-270.315,-270.315,,no
HC241,ENSG00000118900,NM_016936,UBN1,3339,-4572.69,-4577.74,1,yes
HC242,ENSG00000126603,NM_032575,GLIS2,687,-906.962,-915.124,1,yes
HC243,ENSG00000103199,XM_085507,,1125,-1504.04,-1510.4,1,no
HC244,ENSG00000140623,NM_144605,FLJ25410,144,,,,yes
HC245,ENSG00000089486,NM_013399,C16orf5,240,-324.302,-324.597,,yes
HC246,ENSG00000153406,NM_020677,HSCARG,426,-570.174,-571.462,1,yes
HC247,,XM_064152,,2316,-3143.02,-3143.08,1,no
HC248,ENSG00000168101,NM_032349,SDOS,33,,,,yes
HC249,,NM_015246,,741,-951.977,-957.54,1,yes
HC250,ENSG00000118898,NM_002705,PPL,3846,-4924.63,-4933.97,1,yes
HC251,ENSG00000140632,NM_032569,BM045,1314,-1770.42,-1770.42,,yes
HC252,ENSG00000067836,NM_024589,FLJ22386,555,-687.54,-689.387,,yes
HC253,ENSG00000168096,NM_133450,,1164,-1588.57,-1588.66,1,yes
HC254,ENSG00000166246,NM_139170,LOC146562,1071,-1498,-1498.08,0.359302,yes
HC255,,,LOC124402,228,-270.518,-270.518,,yes
HC256,ENSG00000101544,XM_377498,KIAA0863,2808,-3853.84,-3857.34,1,yes
HC257,ENSG00000130023,XM_376556,,1869,-2559.67,-2559.8,0.414416,no
HC258,ENSG00000184465,NM_182552,,582,-815.698,-820.413,1,yes
HC259,ENSG00000130024,"NM_018288,NM_133325",PHF10,1032,-1388.01,-1390.67,,yes
HC260,ENSG00000143248,NM_003617,RGS5,366,-490.07,-490.398,,yes
HC261,ENSG00000117152,NM_005613,RGS4,609,-826.767,-828.003,,yes
HC262,ENSG00000143228,"NM_031423,NM_145697",CDCA1,1380,-1844.98,-1854.26,1,yes
HC263,ENSG00000081051,NM_001134,AFP,1659,-2274.75,-2276.05,1,yes
HC264,ENSG00000079557,NM_001133,AFM,1656,-2252.13,-2252.34,1,yes
HC265,,,ABI-2,888,-1190.74,-1190.74,,yes
HC266,,XM_290345,,129,,,,no
HC267,ENSG00000115392,NM_018062,PHF9,1011,-1394.69,-1395.91,1,yes
HC268,,,NRP2,1635,-2231.82,-2236.3,1,yes
HC269,ENSG00000144455,NM_182760,,1053,-1488.98,-1490.76,1,yes
HC270,ENSG00000118260,"NM_004379,NM_134442",CREB1,696,-917.346,-918.483,,yes
HC271,,,MGC22679,1401,-1885,-1887.67,,yes
HC272,ENSG00000138382,,HSPC133,285,-378.81,-380.157,,yes
HC273,ENSG00000138385,NM_003142,,696,-890.501,-890.501,,no
HC274,ENSG00000144357,NM_172070,MYO3B,573,-775.47,-776.781,,yes
HC275,ENSG00000138399,NM_024622,FLJ21901,1863,-2519.85,-2520.55,1,yes
HC276,,XM_059384,,1383,-1763.22,-1763.74,0.181358,no
HC277,ENSG00000144357,NM_172070,,333,-440.623,-440.623,,yes
HC278,ENSG00000167323,NM_003156,STIM1,1872,-2495.62,-2500.9,1,yes
HC279,ENSG00000132109,NM_003141,SSA1,1083,-1485.2,-1489.94,1,yes
HC280,ENSG00000104517,NM_015902,DD5,4290,-5839.11,-5848.36,1,yes
HC281,ENSG00000174579,NM_018133,FLJ10546,1686,-2301.15,-2306.32,1,yes
HC282,ENSG00000114054,NM_000532,PCCB,954,-1322.43,-1323.53,1,yes
HC283,ENSG00000118007,NM_005862,STAG1,2091,-2822.89,-2823.4,1,yes
HC284,,,MAGEE1,843,-1371.49,-1371.76,1,yes
HC285,ENSG00000118308,,LRMP,852,-1186.49,-1186.49,1,yes
HC286,ENSG00000110395,NM_005188,CBL,1788,-2453.07,-2456.6,1,yes
HC287,ENSG00000076706,NM_006500,MCAM,1158,-1567.5,-1568.4,1,yes
HC288,ENSG00000184824,NM_015645,C1QTNF5,348,-445.602,-445.602,,yes
HC289,ENSG00000036672,NM_004205,USP2,753,-1038.94,-1041.37,1,yes
HC290,ENSG00000084073,NM_005857,ZMPSTE24,1065,-1435.23,-1435.42,,yes
HC291,ENSG00000109472,NM_001873,CPE,978,-1356.67,-1359.5,1,yes
HC292,ENSG00000105499,NM_003706,PLA2G4C,1092,-1526.24,-1529.8,1,yes
HC293,ENSG00000105483,NM_014959,TUCAN,1116,-1653.69,-1653.74,0.388876,yes
HC294,ENSG00000105479,NM_144577,KDELR1,723,-878.641,-879.013,,yes
HC295,ENSG00000161558,NM_018273,FLJ10922,828,-1076.92,-1077.26,,yes
HC296,ENSG00000105507,NM_019855,CABP3,420,-559.892,-560.101,,yes
HC297,,,MGC17986,1251,-1768.52,-1769.68,1,yes
HC298,ENSG00000105464,NM_000836,GRIN2D,1710,-2212.53,-2221.03,1,yes
HC299,ENSG00000105516,NM_001352,RPL18,537,-698.091,-699.562,,yes
HC300,ENSG00000105438,NM_006801,KDELR1,438,-557.622,-557.622,,yes
HC301,ENSG00000105443,NM_017457,PSCD2,762,-966.684,-970.104,,yes
HC302,ENSG00000088002,NM_177973,SULT2B1,513,-677.792,-681.349,1,yes
HC303,ENSG00000063177,NM_000979,,345,-472.562,-479.787,1,yes
HC304,ENSG00000063180,NM_001217,CA11,957,-1281.29,-1283.93,,yes
HC305,ENSG00000105523,NM_017708,FLJ20200,552,-735.878,-740.671,1,yes
HC306,ENSG00000142235,XM_055866,,498,-641.283,-642.809,,no
HC307,ENSG00000142233,NM_145807,FUT2,114,,,,yes
HC308,ENSG00000105447,NM_031485,GRWD,1248,-1622.04,-1622.31,,yes
HC309,ENSG00000063176,NM_020126,SPHK2,960,-1239.54,-1239.84,,yes
HC310,ENSG00000131459,NM_005110,GFPT2,1203,-1635.97,-1645.27,1,yes
HC311,,,LOC51149,336,-454.472,-454.472,,yes
HC312,ENSG00000161011,NM_003900,SQSTM1,750,-1033.4,-1041.49,1,yes
HC313,ENSG00000050748,NM_139070,MAPK9,996,-1380.92,-1389.81,1,yes
HC314,ENSG00000037280,NM_182925,FLT4,2379,-3247.72,-3282.73,1,yes
HC315,ENSG00000161021,NM_014757,MAML1,1692,-2320.59,-2320.66,1,yes
HC316,ENSG00000146090,NM_175062,,975,-1307.45,-1315.92,1,yes
HC317,ENSG00000113269,NM_018434,RNF130,414,-587.171,-593.472,1,yes
HC318,ENSG00000064747,"NM_015043,NM_198868",KIAA0676,2145,-2842.18,-2844.48,1,yes
HC319,,NM_052863,SCGB3A1,21,,,,yes
HC320,ENSG00000155660,NM_004911,ERP70,1350,-1820.86,-1821.41,1,yes
HC321,ENSG00000160816,,DKFZP434F1735,192,-244.049,-245.136,,no
HC322,ENSG00000147649,NM_178812,,1098,-1471.76,-1471.76,,yes
HC323,ENSG00000166833,"NM_145117,NM_182964",NAV2,1251,-1723.6,-1727.44,1,yes
HC324,,NM_019028,HIP14L,1563,-2129.23,-2130.24,0.322014,yes
HC325,ENSG00000129173,NM_024680,FLJ23311,891,-1239.04,-1242.51,1,yes
HC326,ENSG00000129173,NM_024680,FLJ23311,303,-405.05,-405.352,,yes
HC327,ENSG00000176444,NM_003993,CLK2,1023,-1366.26,-1366.26,,yes
HC328,ENSG00000091138,NM_000111,SLC26A3,2007,-2871.66,-2874.6,1,yes
HC329,ENSG00000163285,NM_173536,,1074,-1452.79,-1455.43,,yes
HC330,,,GABRA2,1218,-1668.56,-1679.38,1,yes
HC331,ENSG00000163828,NM_003212,TDGF1,441,-603.973,-604.297,,yes
HC332,"ENSG00000188239,ENSG00000160791",NM_000579,CCR5,1041,-1430.63,-1433.38,1,yes
HC333,"ENSG00000188268,ENSG00000121797",NM_003965,CCRL2,933,-1328.05,-1328.55,1,yes
HC334,ENSG00000012223,NM_002343,LTF,2031,-2895.51,-2895.6,1,yes
HC335,,,CCR1,207,-264.286,-264.286,,yes
HC336,,,CCR3,456,-609.302,-610.588,,yes
HC337,ENSG00000172215,NM_006564,CXCR6,1023,-1352.74,-1353.33,,yes
HC338,ENSG00000173585,NM_031200,CCR9,1080,-1452.07,-1461.98,1,yes
HC339,ENSG00000188086,NM_013270,TSP50,888,-1172.25,-1172.62,,yes
HC340,ENSG00000163820,NM_024513,FYCO1,4182,-5575.01,-5587.67,1,yes
HC341,,,,480,-644.152,-644.466,,no
