Ensembl Gene ID	Ensembl Protein Family ID(s)
ENSG00000100852	ENSFM00250000002482
ENSG00000187231	ENSFM00250000002761
ENSG00000116678	ENSFM00250000002386
ENSG00000174502	ENSFM00250000000278
ENSG00000228435	ENSFM00250000011826
ENSG00000110955	ENSFM00250000001218
ENSG00000233210	ENSFM00250000008098
ENSG00000130300	ENSFM00250000007721
ENSG00000146830	ENSFM00570000851620
ENSG00000215277	ENSFM00300000085299
ENSG00000130303	ENSFM00500000287717
ENSG00000170276	ENSFM00500000273016
ENSG00000140332	ENSFM00250000000505
ENSG00000149300	ENSFM00500000286561
ENSG00000100814	ENSFM00250000008540
ENSG00000065243	ENSFM00270000056451
ENSG00000197362	ENSFM00250000000002
ENSG00000126953	ENSFM00500000287642
ENSG00000204389	ENSFM00250000000069
ENSG00000141480	ENSFM00250000000572
ENSG00000150764	ENSFM00250000002896
ENSG00000215114	ENSFM00500000270274
ENSG00000166947	ENSFM00250000000497
ENSG00000187951	ENSFM00250000003711
ENSG00000100324	ENSFM00250000006089
ENSG00000213213	ENSFM00250000007640
ENSG00000198690	ENSFM00250000007419
ENSG00000227826	ENSFM00500000269593
ENSG00000133318	ENSFM00500000269689
ENSG00000204947	ENSFM00250000000002
ENSG00000179761	ENSFM00250000006230
ENSG00000110318	ENSFM00250000009055
ENSG00000151062	ENSFM00250000000523
ENSG00000180720	ENSFM00250000000372
ENSG00000234951	ENSFM00500000278205
ENSG00000186625	ENSFM00500000269726
ENSG00000155158	ENSFM00250000001284
ENSG00000215271	ENSFM00250000009119
ENSG00000164411	ENSFM00440000236860
ENSG00000235194	ENSFM00500000282874
ENSG00000129473	ENSFM00500000272911
ENSG00000196550	ENSFM00250000008581
ENSG00000110497	ENSFM00250000002987
ENSG00000132821	ENSFM00500000273528
ENSG00000172809	ENSFM00500000276121
ENSG00000186501	ENSFM00250000005108
ENSG00000196503	ENSFM00500000273845
ENSG00000147117	ENSFM00250000000002
ENSG00000147166	ENSFM00250000001982
ENSG00000257676	ENSFM00640001111499
ENSG00000115274	ENSFM00250000009094
ENSG00000198457	ENSFM00600000921168
ENSG00000171476	ENSFM00550000744112
ENSG00000147124	ENSFM00250000000002
ENSG00000109758	ENSFM00270000056447
ENSG00000128268	ENSFM00250000007210
ENSG00000107159	ENSFM00500000272720
ENSG00000113555	ENSFM00640001103047
ENSG00000198049	ENSFM00260000050393
ENSG00000140522	ENSFM00500000271552
ENSG00000101407	ENSFM00250000008547
ENSG00000196533	ENSFM00500000283603
ENSG00000119685	ENSFM00500000269966
ENSG00000197024	ENSFM00570000851559
ENSG00000141971	ENSFM00500000273612
ENSG00000233539	ENSFM00550000756854
ENSG00000043039	ENSFM00500000272724
ENSG00000158806	ENSFM00500000276704
ENSG00000166912	ENSFM00260000050612
ENSG00000090565	ENSFM00250000002135
ENSG00000066248	ENSFM00250000000781
ENSG00000196188	ENSFM00500000269615
ENSG00000136205	ENSFM00250000000591
ENSG00000183476	ENSFM00250000010101
ENSG00000070182	ENSFM00510000502729
ENSG00000137691	ENSFM00440000236972
ENSG00000151715	ENSFM00250000004420
ENSG00000100335	ENSFM00250000003315
ENSG00000119599	ENSFM00250000004241
ENSG00000172922	ENSFM00250000010037
ENSG00000161203	ENSFM00630001050572
ENSG00000196535	ENSFM00400000131775
ENSG00000115919	ENSFM00250000005963
ENSG00000229074	ENSFM00500000269593
ENSG00000158623	ENSFM00250000001573
ENSG00000196741	ENSFM00250000046554
ENSG00000078061	ENSFM00290000065522
ENSG00000100578	ENSFM00250000007057
ENSG00000163486	ENSFM00250000000639
ENSG00000223757	ENSFM00250000005406
ENSG00000115568	ENSFM00570000851826
ENSG00000169087	ENSFM00250000004786
ENSG00000101413	ENSFM00250000003763
ENSG00000258643	ENSFM00500000271614
ENSG00000010671	ENSFM00280000058686
ENSG00000104055	ENSFM00250000000497
ENSG00000141522	ENSFM00250000002426
ENSG00000168081	ENSFM00500000273935
ENSG00000183684	ENSFM00500000272450
ENSG00000172336	ENSFM00500000274727
ENSG00000239779	ENSFM00500000273692
ENSG00000144746	ENSFM00500000272084
ENSG00000126337	ENSFM00440000236862
ENSG00000213265	ENSFM00250000010761
ENSG00000175898	ENSFM00500000269715
ENSG00000105364	ENSFM00250000003853
ENSG00000175920	ENSFM00250000006721
ENSG00000198959	ENSFM00250000000497
ENSG00000117461	ENSFM00250000000988
ENSG00000111850	ENSFM00600000924796
ENSG00000151320	ENSFM00250000005209
ENSG00000171401	ENSFM00250000000099
ENSG00000158089	ENSFM00630001050564
ENSG00000129484	ENSFM00250000001234
ENSG00000258166	ENSFM00640001111072
ENSG00000225890	ENSFM00500000269609
ENSG00000214188	ENSFM00470000256368
ENSG00000138483	ENSFM00250000010783
ENSG00000130427	ENSFM00500000272270
ENSG00000114439	ENSFM00250000002305
ENSG00000183657	ENSFM00250000020460
ENSG00000228368	ENSFM00550000766176
ENSG00000186329	ENSFM00250000010782
ENSG00000134330	ENSFM00500000272564
ENSG00000203872	ENSFM00250000010695
ENSG00000170322	ENSFM00250000003794
ENSG00000113569	ENSFM00500000270936
ENSG00000141552	ENSFM00500000287846
ENSG00000123975	ENSFM00500000277901
ENSG00000100836	ENSFM00500000271614
ENSG00000075420	ENSFM00250000001575
ENSG00000183431	ENSFM00250000005537
ENSG00000154162	ENSFM00260000050333
ENSG00000141540	ENSFM00250000001068
ENSG00000230700	ENSFM00250000002069
ENSG00000185774	ENSFM00410000138464
ENSG00000188051	ENSFM00600000922457
ENSG00000258839	ENSFM00620000999391
ENSG00000171773	ENSFM00250000008218
ENSG00000187742	ENSFM00570000851153
ENSG00000074582	ENSFM00500000270206
ENSG00000143466	ENSFM00250000003276
ENSG00000137947	ENSFM00570000851102
ENSG00000204388	ENSFM00250000000069
ENSG00000131626	ENSFM00250000000441
ENSG00000128272	ENSFM00500000271462
ENSG00000140525	ENSFM00250000003209
ENSG00000186918	ENSFM00500000271906
ENSG00000013561	ENSFM00250000004235
ENSG00000198211	ENSFM00250000000193
ENSG00000187051	ENSFM00600000922245
ENSG00000197889	ENSFM00500000311248
ENSG00000130304	ENSFM00250000000529
ENSG00000158815	ENSFM00500000270249
ENSG00000153395	ENSFM00250000001465
ENSG00000170289	ENSFM00510000502769
ENSG00000164902	ENSFM00250000007579
ENSG00000183979	ENSFM00640001104523
ENSG00000185813	ENSFM00250000002463
ENSG00000100346	ENSFM00600000921439
ENSG00000236895	ENSFM00250000005789
ENSG00000105989	ENSFM00500000269585
ENSG00000158423	ENSFM00500000273611
ENSG00000008056	ENSFM00250000000771
ENSG00000198513	ENSFM00250000001436
ENSG00000162888	ENSFM00500000294950
ENSG00000136653	ENSFM00250000001616
ENSG00000163380	ENSFM00570000851256
ENSG00000167100	ENSFM00250000006485
ENSG00000130313	ENSFM00500000272386
ENSG00000161920	ENSFM00500000275401
ENSG00000140995	ENSFM00250000005134
ENSG00000147133	ENSFM00250000001658
ENSG00000170265	ENSFM00600000921353
ENSG00000137831	ENSFM00560000771077
ENSG00000161921	ENSFM00500000275809
ENSG00000167483	ENSFM00500000273002
ENSG00000155760	ENSFM00250000000221
ENSG00000118900	ENSFM00250000002538
ENSG00000158856	ENSFM00500000271390
ENSG00000169446	ENSFM00500000273449
ENSG00000134160	ENSFM00250000000305
ENSG00000090339	ENSFM00250000002453
ENSG00000153989	ENSFM00250000007501
ENSG00000182329	ENSFM00640001103113
ENSG00000163539	ENSFM00250000000820
ENSG00000137693	ENSFM00600000921293
ENSG00000162490	ENSFM00250000008235
ENSG00000136425	ENSFM00500000270628
ENSG00000213625	ENSFM00500000273442
ENSG00000187049	ENSFM00570000854023
ENSG00000143486	ENSFM00250000003116
ENSG00000141497	ENSFM00250000010778
ENSG00000105371	ENSFM00520000518032
ENSG00000214397	ENSFM00300000086178
ENSG00000166828	ENSFM00250000001147
ENSG00000196376	ENSFM00250000002791
ENSG00000140470	ENSFM00570000850995
ENSG00000182533	ENSFM00500000269969
ENSG00000117472	ENSFM00600000921473
ENSG00000198467	ENSFM00250000000220
ENSG00000172818	ENSFM00500000270698
ENSG00000152463	ENSFM00250000007301
ENSG00000184588	ENSFM00400000131721
ENSG00000171346	ENSFM00250000000099
ENSG00000114541	ENSFM00250000001583
ENSG00000177674	ENSFM00290000065522
ENSG00000204387	ENSFM00500000296274
ENSG00000144331	ENSFM00250000001367
ENSG00000131023	ENSFM00390000126311
ENSG00000132549	ENSFM00250000001746
ENSG00000104112	ENSFM00250000006653
ENSG00000224264	ENSFM00250000001468
ENSG00000187531	ENSFM00500000272073
ENSG00000103502	ENSFM00500000271211
ENSG00000014257	ENSFM00600000921166
ENSG00000115275	ENSFM00250000005039
ENSG00000116030	ENSFM00500000274307
ENSG00000108823	ENSFM00250000002718
ENSG00000123219	ENSFM00250000008654
ENSG00000115137	ENSFM00260000050922
ENSG00000072506	ENSFM00500000270523
ENSG00000149633	ENSFM00250000005439
ENSG00000164764	ENSFM00500000273325
ENSG00000204822	ENSFM00500000276686
ENSG00000138463	ENSFM00250000006697
ENSG00000137944	ENSFM00250000002293
ENSG00000196900	ENSFM00250000013545
ENSG00000089060	ENSFM00500000272037
ENSG00000167910	ENSFM00250000001362
ENSG00000197361	ENSFM00250000007954
ENSG00000198883	ENSFM00500000270437
ENSG00000171307	ENSFM00250000002745
ENSG00000142765	ENSFM00250000000803
ENSG00000103657	ENSFM00570000851248
ENSG00000137575	ENSFM00250000003553
ENSG00000183837	ENSFM00500000270437
ENSG00000143933	ENSFM00570000851003
ENSG00000101425	ENSFM00250000002514
ENSG00000172757	ENSFM00500000270025
ENSG00000142484	ENSFM00500000273589
ENSG00000171345	ENSFM00250000000099
ENSG00000143479	ENSFM00520000517813
ENSG00000235961	ENSFM00500000270437
ENSG00000105376	ENSFM00570000851730
ENSG00000112303	ENSFM00250000001708
ENSG00000224201	ENSFM00500000270437
ENSG00000182853	ENSFM00500000274303
ENSG00000092096	ENSFM00640001103134
ENSG00000214725	ENSFM00420000181821
ENSG00000085998	ENSFM00250000005196
ENSG00000220201	ENSFM00500000298721
ENSG00000183386	ENSFM00570000851035
ENSG00000257088	ENSFM00500000270437
ENSG00000203902	ENSFM00500000270437
ENSG00000154438	ENSFM00250000005174
ENSG00000182327	ENSFM00500000274414
ENSG00000142507	ENSFM00440000236879
ENSG00000174938	ENSFM00250000001049
ENSG00000138814	ENSFM00310000089007
ENSG00000147604	ENSFM00250000000871
ENSG00000150867	ENSFM00260000050567
ENSG00000222001	ENSFM00520000543599
ENSG00000206510	ENSFM00500000273997
ENSG00000162889	ENSFM00350000105417
ENSG00000115488	ENSFM00250000002795
ENSG00000075884	ENSFM00250000000913
ENSG00000067715	ENSFM00510000502732
ENSG00000168918	ENSFM00500000270444
ENSG00000102265	ENSFM00500000271717
ENSG00000228454	ENSFM00250000000285
ENSG00000171403	ENSFM00250000000099
ENSG00000163510	ENSFM00250000001782
ENSG00000159495	ENSFM00250000000497
ENSG00000186847	ENSFM00250000000099
ENSG00000135637	ENSFM00250000008692
ENSG00000077264	ENSFM00520000517789
ENSG00000168806	ENSFM00470000251511
ENSG00000168803	ENSFM00250000005481
ENSG00000129988	ENSFM00250000002514
ENSG00000197063	ENSFM00500000270486
ENSG00000188848	ENSFM00250000008957
ENSG00000183010	ENSFM00500000269896
ENSG00000203871	ENSFM00500000314192
ENSG00000163956	ENSFM00250000004723
ENSG00000136634	ENSFM00250000002201
ENSG00000140265	ENSFM00570000851132
ENSG00000114779	ENSFM00500000272278
ENSG00000183520	ENSFM00500000271591
ENSG00000129566	ENSFM00250000004444
ENSG00000149532	ENSFM00500000272686
ENSG00000185345	ENSFM00250000001683
ENSG00000170260	ENSFM00500000272221
ENSG00000125676	ENSFM00250000002825
ENSG00000185105	ENSFM00500000272611
ENSG00000129219	ENSFM00250000001375
ENSG00000023445	ENSFM00570000851152
ENSG00000151322	ENSFM00570000851023
ENSG00000130309	ENSFM00250000001576
ENSG00000176177	ENSFM00500000269762
ENSG00000140280	ENSFM00500000274295
ENSG00000164627	ENSFM00570000851099
ENSG00000142224	ENSFM00500000273750
ENSG00000055044	ENSFM00630001050579
ENSG00000174595	ENSFM00500000274195
ENSG00000100351	ENSFM00500000271924
ENSG00000082684	ENSFM00500000270297
ENSG00000128585	ENSFM00250000004861
ENSG00000128872	ENSFM00500000269813
ENSG00000164961	ENSFM00250000005256
ENSG00000115282	ENSFM00500000274136
ENSG00000136267	ENSFM00510000502735
ENSG00000162891	ENSFM00500000273182
ENSG00000185269	ENSFM00250000004144
ENSG00000167807	ENSFM00500000273524
ENSG00000142733	ENSFM00260000050412
ENSG00000162892	ENSFM00250000009081
ENSG00000134363	ENSFM00570000851265
ENSG00000128040	ENSFM00500000296459
ENSG00000178343	ENSFM00500000273647
ENSG00000214050	ENSFM00250000007005
ENSG00000124406	ENSFM00610000952879
ENSG00000006607	ENSFM00270000056477
ENSG00000118898	ENSFM00500000270485
ENSG00000213204	ENSFM00250000003948
ENSG00000138246	ENSFM00250000002783
ENSG00000198681	ENSFM00360000109863
ENSG00000137822	ENSFM00250000004840
ENSG00000063587	ENSFM00570000851774
ENSG00000163481	ENSFM00250000006274
ENSG00000186832	ENSFM00250000000099
ENSG00000104290	ENSFM00250000000221
ENSG00000170471	ENSFM00250000002523
ENSG00000162894	ENSFM00250000010774
ENSG00000170325	ENSFM00250000004437
ENSG00000103326	ENSFM00320000100197
ENSG00000183479	ENSFM00500000274680
ENSG00000203945	ENSFM00500000341301
ENSG00000128422	ENSFM00250000000099
ENSG00000198689	ENSFM00260000050537
ENSG00000171421	ENSFM00500000294472
ENSG00000111860	ENSFM00500000272041
ENSG00000086758	ENSFM00570000851170
ENSG00000180914	ENSFM00260000050393
ENSG00000120253	ENSFM00250000005578
ENSG00000110330	ENSFM00570000851152
ENSG00000196642	ENSFM00250000002978
ENSG00000164258	ENSFM00250000005730
ENSG00000067369	ENSFM00250000004229
ENSG00000084093	ENSFM00250000004052
ENSG00000168005	ENSFM00250000010733
ENSG00000140678	ENSFM00500000269709
ENSG00000113368	ENSFM00250000000425
ENSG00000111057	ENSFM00560000771030
ENSG00000170035	ENSFM00500000270008
ENSG00000221949	ENSFM00600000926640
ENSG00000171595	ENSFM00250000003364
ENSG00000035664	ENSFM00500000269736
ENSG00000176571	ENSFM00250000009942
